Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,40,12,28,0.17,0.0,12.0,34.8
2017-2019,47,26,21,0.26,0.1,12.0,39.3
2018-2020,22,24,-2,0.52,-0.0,33.6,43.5
2019-2021,23,66,-44,0.61,-0.6,33.6,50.1
2020-2022,13,7,6,0.57,0.1,32.6,48.5
2021-2023,-10,22,-33,0.45,-0.6,21.0,45.3
2022-2024,-34,35,-69,0.38,-1.3,21.0,43.6
2023-2025,-26,81,-107,0.21,-1.7,26.4,38.1
2024-2026,-6,52,-58,0.15,-0.8,26.4,37.6
