Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,151,12,139,1.87,0.7,27.6,18.4
2017-2019,402,26,376,1.77,6.0,28.8,53.0
2018-2020,1030,24,1006,1.24,16.7,40.5,150.8
2019-2021,1058,66,991,1.17,18.3,40.5,183.5
2020-2022,-343,7,-351,1.56,-4.7,84.3,46.2
2021-2023,-641,22,-663,2.39,-7.5,84.3,103.8
2022-2024,-172,35,-206,2.45,-2.2,73.1,141.7
2023-2025,622,81,541,2.28,7.8,41.7,214.5
2024-2026,297,75,222,2.08,4.0,46.4,199.6
