Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,25,12,13,1.12,0.0,23.4,5.6
2017-2019,48,26,22,1.24,0.1,23.4,7.5
2018-2020,104,24,80,1.16,0.7,43.7,12.3
2019-2021,171,66,105,1.15,1.0,43.7,18.6
2020-2022,11,7,4,1.14,0.0,57.2,10.7
2021-2023,-63,22,-85,1.2,-0.8,57.5,11.6
2022-2024,-135,35,-170,1.26,-1.4,45.1,9.1
2023-2025,-45,81,-126,1.39,-0.2,60.0,9.8
2024-2026,-39,52,-91,1.45,-0.1,60.0,8.3
