Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,8,12,-4,0.77,-0.0,16.8,9.6
2017-2019,16,26,-9,0.6,-0.0,16.8,9.4
2018-2020,31,24,7,0.85,0.0,29.8,8.7
2019-2021,117,66,51,0.84,0.2,29.8,15.4
2020-2022,99,7,92,0.89,0.3,29.8,14.7
2021-2023,147,22,125,0.85,2.5,22.2,20.6
2022-2024,216,35,182,0.91,4.1,22.2,31.0
2023-2025,81,81,0,1.0,-0.0,38.2,24.5
2024-2026,116,47,69,0.98,1.6,38.2,31.2
