Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-4,12,-16,0.12,-0.0,17.9,34.9
2017-2019,15,26,-10,0.08,-0.0,17.9,43.8
2018-2020,48,24,24,0.33,0.1,24.5,60.3
2019-2021,69,66,2,0.35,0.0,24.5,62.5
2020-2022,-9,7,-16,0.41,-0.1,51.8,47.5
2021-2023,-55,22,-77,0.45,-0.4,51.8,41.7
2022-2024,-63,35,-98,0.51,-0.1,53.9,37.5
2023-2025,131,81,50,0.59,0.0,35.8,100.6
2024-2026,193,47,146,0.64,0.1,35.2,107.3
