Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,10,12,-2,1.26,-0.0,29.8,16.3
2017-2019,-6,26,-32,1.15,-0.1,29.8,22.3
2018-2020,-25,24,-48,1.5,-0.1,57.5,18.1
2019-2021,62,66,-5,1.56,-0.0,57.5,25.4
2020-2022,4,7,-3,1.43,-0.0,57.5,19.2
2021-2023,-1,22,-23,1.26,-0.0,58.6,15.8
2022-2024,-27,35,-62,1.26,-0.1,58.6,18.9
2023-2025,45,81,-36,1.44,-0.1,53.4,22.7
2024-2026,49,47,2,1.21,0.0,30.1,21.0
