Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,33,12,21,1.5,0.0,37.7,8.7
2017-2019,15,26,-10,1.36,-0.0,30.9,13.3
2018-2020,1,24,-23,1.03,-0.2,33.8,13.9
2019-2021,168,66,102,1.0,1.1,33.8,25.3
2020-2022,-28,7,-35,1.03,-0.4,53.9,11.8
2021-2023,30,22,7,1.22,0.1,53.9,19.1
2022-2024,-66,35,-101,1.24,-1.1,52.5,19.3
2023-2025,475,81,394,1.41,5.9,37.5,61.7
2024-2026,673,52,621,1.52,8.4,37.5,86.5
