Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,4,12,-8,0.76,-0.0,27.7,28.9
2017-2019,102,26,77,0.81,0.2,27.7,56.0
2018-2020,124,24,100,0.71,0.4,27.7,77.1
2019-2021,175,66,108,0.7,1.1,26.7,101.0
2020-2022,11,7,3,0.84,0.0,45.2,65.1
2021-2023,-84,22,-106,1.08,-1.2,52.2,62.2
2022-2024,-119,35,-154,1.03,-1.6,50.4,59.0
2023-2025,-87,81,-168,0.87,-1.1,44.6,42.7
2024-2026,38,75,-37,0.74,-0.2,44.6,74.2
