Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,58,12,46,1.26,0.2,18.8,169.3
2017-2019,101,26,75,1.32,1.6,18.8,268.0
2018-2020,71,24,47,1.25,0.8,40.4,320.4
2019-2021,39,66,-27,1.24,-0.5,40.4,322.5
2020-2022,-33,7,-41,1.2,-0.6,40.4,312.1
2021-2023,18,22,-4,1.1,-0.1,24.7,382.8
2022-2024,30,35,-5,0.98,-0.1,24.7,472.6
2023-2025,59,81,-22,0.78,-0.8,16.4,512.4
2024-2026,-9,47,-56,0.75,-2.3,16.4,438.4
