Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2017-2019,16,26,-10,1.34,-0.0,33.1,9.2
2018-2020,41,24,17,1.37,0.0,64.1,11.2
2019-2021,85,66,18,1.39,0.0,64.1,12.5
2020-2022,62,7,55,1.3,0.0,64.1,15.4
2021-2023,104,22,82,1.11,1.1,19.5,21.2
2022-2024,289,35,254,1.09,3.8,19.5,42.8
2023-2025,577,81,496,1.19,9.9,19.1,80.2
2024-2026,642,47,595,1.24,11.7,19.1,94.7
