Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,22,12,10,0.53,0.0,14.5,23.5
2017-2019,37,26,11,0.48,0.0,10.7,24.8
2018-2020,38,24,14,0.44,0.0,16.2,25.6
2019-2021,21,66,-46,0.38,-0.5,16.2,26.9
2020-2022,-2,7,-9,0.34,-0.1,17.0,25.1
2021-2023,-35,22,-58,0.22,-0.1,25.9,17.7
2022-2024,-36,35,-71,0.24,-0.1,25.9,17.3
2023-2025,-55,81,-136,0.16,-0.1,28.9,13.0
2024-2026,-17,52,-69,0.07,-0.0,28.9,12.7
