Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-10,12,-22,0.71,-0.0,17.4,34.6
2017-2019,36,26,11,0.57,0.0,17.4,57.4
2018-2020,48,24,24,0.79,0.1,24.1,70.2
2019-2021,84,66,17,0.79,0.2,24.5,83.1
2020-2022,-8,7,-15,0.88,-0.2,34.5,64.4
2021-2023,-5,22,-27,0.91,-0.3,34.5,79.1
2022-2024,32,35,-3,0.97,-0.0,30.0,92.6
2023-2025,-6,81,-87,0.85,-1.6,23.2,75.3
2024-2026,20,52,-32,0.75,-0.5,23.2,95.6
