Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,37,12,25,1.17,0.1,27.8,25.7
2017-2019,38,26,12,0.94,0.0,27.8,31.5
2018-2020,91,24,67,0.9,0.1,45.8,48.5
2019-2021,150,66,83,0.89,0.1,45.8,75.9
2020-2022,56,7,49,1.0,0.0,45.8,57.1
2021-2023,185,22,162,1.21,2.9,33.0,120.6
2022-2024,167,35,132,1.26,2.4,33.0,148.8
2023-2025,182,81,101,1.23,2.1,30.5,150.7
2024-2026,319,74,245,1.23,4.0,35.5,297.4
