Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,4,12,-8,1.35,-0.0,23.4,58.9
2017-2019,20,26,-6,1.27,-0.0,23.4,75.4
2018-2020,26,24,2,1.2,0.0,41.1,108.2
2019-2021,107,66,41,1.21,0.2,41.1,137.3
2020-2022,32,7,24,1.22,0.2,41.1,106.3
2021-2023,14,22,-9,1.29,-0.1,36.8,121.8
2022-2024,39,35,4,1.2,0.0,27.9,153.8
2023-2025,61,81,-20,1.1,-0.3,22.2,160.6
2024-2026,35,42,-7,1.1,-0.2,22.2,145.3
