Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-2,12,-14,1.04,-0.0,25.3,10.6
2017-2019,13,26,-13,0.8,-0.0,25.3,17.2
2018-2020,27,24,3,1.0,0.0,46.6,17.4
2019-2021,120,66,53,1.03,0.0,46.6,27.0
2020-2022,18,7,11,1.08,0.0,46.6,20.8
2021-2023,70,22,48,1.09,0.7,29.8,30.6
2022-2024,25,35,-10,1.08,-0.1,24.6,31.7
2023-2025,79,81,-2,0.9,-0.0,25.1,38.2
2024-2026,-13,71,-85,0.83,-2.0,25.1,33.6
