Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2022-2024,53,35,18,1.22,0.0,67.5,14.0
2023-2025,189,81,108,2.39,0.6,67.5,35.2
2024-2026,-110,76,-186,2.5,-1.1,61.6,23.5
