Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2019-2021,90,66,23,0.9,0.1,56.7,9.2
2020-2022,-18,7,-26,1.29,-0.1,66.2,5.0
2021-2023,164,22,141,1.8,0.4,66.2,17.6
2022-2024,549,35,514,2.08,1.5,60.3,41.6
2023-2025,781,81,700,2.34,3.7,61.0,59.3
2024-2026,1162,71,1090,2.52,17.1,61.0,111.5
