Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,28,12,16,1.0,0.0,16.7,52.1
2017-2019,41,26,16,1.03,0.2,16.7,67.7
2018-2020,26,24,2,1.1,0.0,38.4,70.0
2019-2021,70,66,3,1.09,0.0,38.4,98.0
2020-2022,34,7,27,1.05,0.3,38.4,94.9
2021-2023,33,22,11,0.91,0.2,20.3,92.5
2022-2024,52,35,17,0.83,0.4,19.1,116.3
2023-2025,19,81,-62,0.6,-1.7,19.9,102.2
2024-2026,19,78,-59,0.39,-1.4,35.0,107.0
