Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,37,12,25,0.82,0.0,16.7,8.2
2017-2019,27,26,1,0.74,0.0,19.7,9.7
2018-2020,46,24,22,0.49,0.3,22.1,12.7
2019-2021,92,66,25,0.43,0.3,22.1,18.7
2020-2022,0,7,-8,0.53,-0.1,42.0,11.5
2021-2023,-7,22,-30,0.73,-0.3,42.0,13.6
2022-2024,-32,35,-66,0.77,-0.6,29.2,13.9
2023-2025,16,81,-64,0.63,-0.6,23.9,13.8
2024-2026,-35,69,-104,0.5,-1.0,36.9,11.7
