Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,17,7,9,1.53,0.0,91.2,1.6
2021-2023,-117,22,-140,1.83,-0.1,91.2,3.8
2022-2024,-6,35,-41,1.71,-0.0,83.3,11.8
2023-2025,43,81,-37,1.69,-0.0,70.6,4.7
2024-2026,-8,75,-84,1.72,-0.1,80.5,3.5
