Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,14,12,2,1.2,0.0,14.8,632.0
2017-2019,32,26,6,1.32,0.1,16.6,810.0
2018-2020,29,24,5,1.05,0.0,29.9,1059.9
2019-2021,131,66,65,1.03,0.7,29.9,1752.0
2020-2022,-4,7,-11,1.1,-0.1,40.1,1067.2
2021-2023,39,22,16,1.35,0.2,40.1,1689.6
2022-2024,37,35,2,1.33,0.0,40.1,2289.7
2023-2025,262,81,181,1.2,3.4,29.2,3785.8
2024-2026,182,51,131,1.12,3.0,29.2,3610.7
