Date,rate_MCK_5D,rate_VOO_20D
2016-01,-16.845,-3.28
2016-02,-10.3946,-1.8027
2016-03,-6.211,4.5695
2016-04,1.6526,3.6217
2016-05,10.5134,4.6859
2016-06,10.8336,4.2011
2016-07,13.7029,7.3141
2016-08,6.6185,6.5393
2016-09,-4.1676,5.8417
2016-10,-26.3117,3.4057
2016-11,-14.0748,7.0013
2016-12,-14.8756,8.6582
2017-01,-14.5214,9.9058
2017-02,-6.6113,13.4199
2017-03,-7.2763,12.5861
2017-04,-13.0532,12.9516
2017-05,3.3167,13.7442
2017-06,4.1147,14.6714
2017-07,2.2258,16.2352
2017-08,-5.5635,15.7466
2017-09,-2.5789,17.3266
2017-10,-12.4,19.2474
2017-11,-5.4406,22.0133
2017-12,0.0592,22.6523
2018-01,8.3315,28.4864
2018-02,-4.2575,22.6807
2018-03,-9.3868,18.8927
2018-04,0.8098,18.6249
2018-05,-8.1527,20.8091
2018-06,-13.4105,20.9812
2018-07,-18.0352,24.5763
2018-08,-15.1262,27.7899
2018-09,-11.3144,27.6747
2018-10,-16.2418,18.1983
2018-11,-15.7896,19.8597
2018-12,-24.38,8.8011
2019-01,-11.4676,17.1215
2019-02,-11.6313,20.4441
2019-03,-18.291,22.1999
2019-04,-16.341,26.5012
2019-05,-13.6337,17.9266
2019-06,-4.0739,25.7011
2019-07,-0.7315,26.9004
2019-08,-0.7634,24.2426
2019-09,-1.3235,26.142
2019-10,-3.9136,28.3311
2019-11,5.0865,32.3256
2019-12,0.674,35.5485
2020-01,3.777,34.7719
2020-02,2.3003,23.2511
2020-03,-0.8182,7.5779
2020-04,3.6201,21.2186
2020-05,17.2915,26.5774
2020-06,13.1062,28.3766
2020-07,10.5051,35.3325
2020-08,13.0329,44.0777
2020-09,9.5364,37.914
2020-10,8.3405,33.7633
2020-11,32.2445,47.7098
2020-12,27.3434,52.3667
2021-01,27.2953,49.9654
2021-02,23.2113,53.2453
2021-03,41.6076,60.4049
2021-04,35.5693,67.83
2021-05,39.6993,67.8968
2021-06,38.2749,70.6358
2021-07,46.7479,73.7106
2021-08,46.6181,77.7187
2021-09,42.558,68.3779
2021-10,47.9914,79.119
2021-11,53.9254,76.6949
2021-12,75.631,83.6042
2022-01,80.311,72.9303
2022-02,92.271,66.8181
2022-03,112.6689,72.1992
2022-04,113.5809,56.2223
2022-05,125.4862,55.8933
2022-06,122.2219,42.4002
2022-07,131.0515,54.8512
2022-08,146.8358,47.8158
2022-09,126.948,33.7039
2022-10,158.1784,44.0824
2022-11,151.5954,51.4429
2022-12,145.5101,42.1877
2023-01,146.1099,50.5828
2023-02,126.1794,46.2373
2023-03,128.7218,52.2586
2023-04,132.4801,54.0684
2023-05,148.2248,54.1996
2023-06,169.5591,63.548
2023-07,152.1203,68.1942
2023-08,157.0112,64.7317
2023-09,169.2524,56.2636
2023-10,180.0416,52.2886
2023-11,187.7911,65.5989
2023-12,181.252,72.448
2024-01,201.6431,74.4576
2024-02,212.8429,82.7177
2024-03,219.8699,89.0282
2024-04,217.8846,80.6052
2024-05,234.7506,88.8335
2024-06,241.2397,96.0415
2024-07,258.0085,97.3583
2024-08,224.1028,101.128
2024-09,184.4982,105.7758
2024-10,186.2715,102.865
2024-11,257.0444,113.7798
2024-12,222.0262,107.7813
2025-01,233.9132,112.3595
2025-02,257.148,108.6721
2025-03,273.3291,96.0839
2025-04,292.8114,93.6359
2025-05,293.9009,104.9003
2025-06,298.914,114.5225
2025-07,275.1334,118.4064
2025-08,269.0464,121.8959
2025-09,312.9978,128.6764
2025-10,330.9412,133.0211
2025-11,364.9267,132.409
2025-12,330.4688,131.4906
2026-01,333.4234,133.7386
2026-02,411.4585,130.7823
2026-03,410.3742,129.7769
