Date,rate_UNP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.5383,-3.7423
2016-03,6.1556,0.3764
2016-04,2.5112,5.1946
2016-05,12.5838,3.5695
2016-06,6.8048,4.8356
2016-07,9.7108,4.3651
2016-08,15.4025,7.2005
2016-09,16.8543,6.5176
2016-10,17.6725,5.8316
2016-11,4.44,2.6321
2016-12,23.0893,6.5262
2017-01,21.4961,8.6002
2017-02,24.4812,9.8701
2017-03,27.5398,14.9815
2017-04,20.9122,12.5254
2017-05,26.0125,13.1716
2017-06,26.0491,14.581
2017-07,22.7011,14.626
2017-08,13.7699,16.4591
2017-09,17.617,15.9061
2017-10,28.3979,17.2911
2017-11,28.2314,19.4181
2017-12,35.9927,21.7575
2018-01,44.7189,22.6249
2018-02,41.0929,28.3844
2018-03,36.0941,21.0506
2018-04,41.0702,18.8566
2018-05,37.8345,18.843
2018-06,51.8731,22.0592
2018-07,44.7851,20.962
2018-08,50.1055,24.4135
2018-09,51.59,27.7869
2018-10,63.6486,28.1445
2018-11,44.9169,19.3954
2018-12,50.8523,19.8359
2019-01,34.3254,8.7501
2019-02,54.0851,17.203
2019-03,60.9293,21.2677
2019-04,62.6758,23.6016
2019-05,65.2915,25.5902
2019-06,56.5087,17.8911
2019-07,59.5512,26.7327
2019-08,61.4011,25.8061
2019-09,48.9591,24.2046
2019-10,42.381,24.595
2019-11,56.4967,29.5299
2019-12,60.153,32.3145
2020-01,63.2298,35.5516
2020-02,60.7102,34.7733
2020-03,42.9241,23.2161
2020-04,21.347,2.6957
2020-05,38.7881,17.923
2020-06,50.2434,27.1545
2020-07,47.0023,29.2791
2020-08,51.8121,35.3897
2020-09,72.9586,45.4969
2020-10,70.2978,38.8421
2020-11,54.2501,33.8054
2020-12,77.6622,49.4413
2021-01,81.435,52.4925
2021-02,71.7776,52.5474
2021-03,80.541,57.1165
2021-04,88.7125,62.2404
2021-05,88.924,68.0147
2021-06,90.9409,67.9506
2021-07,88.3139,71.7835
2021-08,82.9875,73.9065
2021-09,81.1342,78.108
2021-10,67.355,70.559
2021-11,97.5021,79.7147
2021-12,91.0412,74.8714
2022-01,107.8538,83.8439
2022-02,102.0962,74.2485
2022-03,100.1131,64.4857
2022-04,113.1473,72.8765
2022-05,90.7569,56.3809
2022-06,83.2899,54.7432
2022-07,77.2273,43.9638
2022-08,85.9263,54.5402
2022-09,85.0789,48.4061
2022-10,58.5951,33.808
2022-11,59.5001,43.6413
2022-12,74.1987,51.6237
2023-01,69.3331,42.3283
2023-02,69.213,52.4008
2023-03,69.5086,45.8599
2023-04,63.2485,52.4428
2023-05,60.4048,54.1535
2023-06,58.3981,55.8684
2023-07,64.9541,63.7729
2023-08,85.8146,67.9151
2023-09,77.5574,65.3142
2023-10,62.8094,56.4671
2023-11,65.2694,54.158
2023-12,83.461,66.8181
2024-01,94.8622,72.7134
2024-02,96.7634,77.0248
2024-03,99.7098,84.7703
2024-04,91.0976,89.0895
2024-05,83.6663,80.3005
2024-06,83.1949,89.1407
2024-07,77.1592,96.817
2024-08,91.7927,94.9948
2024-09,103.1225,101.4737
2024-10,94.8746,104.2286
2024-11,83.8185,104.0979
2024-12,92.4499,114.1559
2025-01,79.6272,108.1307
2025-02,94.3883,112.719
2025-03,94.7634,109.0154
2025-04,87.4769,97.097
2025-05,68.5181,95.2965
2025-06,77.0092,105.2137
2025-07,87.395,114.7559
2025-08,73.8232,115.142
2025-09,80.8349,122.2543
2025-10,89.1389,129.8729
2025-11,76.8505,133.4127
2025-12,84.9913,131.7276
2026-01,87.5479,131.8756
2026-02,66.9411,120.852
