Date,rate_NSC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.5067,-0.6039
2016-03,15.6899,5.2168
2016-04,20.8165,3.9893
2016-05,9.4304,4.6886
2016-06,9.3694,4.1237
2016-07,13.7987,7.1795
2016-08,18.0107,6.3603
2016-09,19.8577,5.6281
2016-10,12.9258,3.196
2016-11,28.705,6.7601
2016-12,28.1427,8.3626
2017-01,39.2542,10.2536
2017-02,40.8351,13.6522
2017-03,27.461,12.7005
2017-04,31.6868,12.9818
2017-05,37.5309,13.693
2017-06,32.7298,13.5288
2017-07,21.0352,15.0481
2017-08,28.9728,14.5515
2017-09,39.8328,16.1037
2017-10,37.0786,17.9557
2017-11,43.3921,20.6805
2017-12,47.8999,21.3029
2018-01,53.984,28.0338
2018-02,40.5939,22.1441
2018-03,35.6754,18.3021
2018-04,41.9749,18.0902
2018-05,49.1294,20.2208
2018-06,46.5109,20.3415
2018-07,62.2362,23.8746
2018-08,65.5055,27.0072
2018-09,71.8103,27.7347
2018-10,57.5469,18.1437
2018-11,59.1497,19.7418
2018-12,37.7858,8.5778
2019-01,54.5518,17.1263
2019-02,64.236,20.3748
2019-03,69.2467,22.0514
2019-04,82.5181,26.2651
2019-05,73.238,17.5943
2019-06,74.948,25.308
2019-07,65.8777,26.4355
2019-08,50.4519,23.7232
2019-09,55.2625,26.1617
2019-10,56.7968,28.2707
2019-11,65.0991,32.1761
2019-12,64.1458,35.3247
2020-01,76.032,35.2749
2020-02,53.4639,23.5454
2020-03,21.9662,7.7105
2020-04,42.4792,21.425
2020-05,48.2818,26.7132
2020-06,45.0162,28.4357
2020-07,57.7882,35.3124
2020-08,73.9459,43.9511
2020-09,73.6331,37.6938
2020-10,68.3127,33.4637
2020-11,89.9752,47.2943
2020-12,88.7496,51.8455
2021-01,87.9649,50.305
2021-02,99.2596,53.4604
2021-03,110.2982,59.4101
2021-04,116.6476,66.6882
2021-05,116.6426,66.6274
2021-06,102.8347,69.2184
2021-07,95.3504,72.1455
2021-08,91.3872,75.992
2021-09,79.2191,66.6118
2021-10,117.8924,77.1553
2021-11,96.4218,74.6519
2021-12,118.697,81.397
2022-01,98.2108,70.7122
2022-02,86.4428,64.6001
2022-03,105.854,69.8532
2022-04,84.8507,54.0273
2022-05,71.5584,53.6333
2022-06,61.7177,40.2902
2022-07,77.729,52.5094
2022-08,71.8686,45.531
2022-09,47.3784,31.5965
2022-10,59.5723,41.7445
2022-11,79.4201,48.9584
2022-12,71.3761,39.838
2023-01,70.9523,48.5632
2023-02,56.4493,44.2258
2023-03,46.8407,48.9578
2023-04,40.088,50.6836
2023-05,44.0139,50.7741
2023-06,56.2069,59.884
2023-07,60.1923,64.3798
2023-08,40.8936,60.953
2023-09,34.8546,52.6248
2023-10,30.2844,48.7132
2023-11,49.4771,61.6976
2023-12,61.2518,68.3392
2024-01,60.4745,71.0275
2024-02,72.9098,79.0476
2024-03,73.0872,83.99
2024-04,55.6996,75.7344
2024-05,52.2824,83.6813
2024-06,44.9032,89.2836
2024-07,67.8676,90.5002
2024-08,72.4834,94.0822
2024-09,67.3553,98.2932
2024-10,67.9399,95.412
2024-11,85.1871,105.8418
2024-12,56.8619,99.9875
2025-01,70.6092,105.351
2025-02,64.4609,101.7087
2025-03,57.884,89.4719
2025-04,48.8161,87.0451
2025-05,64.5035,97.8575
2025-06,69.7507,107.0685
2025-07,83.5891,110.7404
2025-08,84.9936,114.0337
2025-09,98.4774,121.6081
2025-10,86.3512,125.7153
2025-11,92.125,125.0226
2025-12,89.0711,124.0393
2026-01,90.7208,127.2713
2026-02,100.7792,125.3185
