Date,rate_SNOW_5D,rate_VOO_20D
2020-09,0.0,0.0
2020-10,1.0307,-5.1983
2020-11,31.0072,8.7481
2020-12,8.1015,13.405
2021-01,3.2576,11.0037
2021-02,-2.6618,14.2837
2021-03,-14.2474,21.4433
2021-04,-11.978,28.8684
2021-05,-8.216,28.9351
2021-06,-6.0751,31.6741
2021-07,4.0535,34.749
2021-08,18.5236,38.7571
2021-09,16.4593,29.4162
2021-10,34.7172,40.1573
2021-11,27.212,37.7332
2021-12,25.5405,44.6426
2022-01,1.1148,33.9686
2022-02,-2.7764,27.8564
2022-03,-15.846,33.2376
2022-04,-36.225,17.2607
2022-05,-51.184,16.9316
2022-06,-44.24,3.4385
2022-07,-38.0026,15.8895
2022-08,-23.3838,8.8541
2022-09,-26.9661,-5.2578
2022-10,-30.1283,5.1207
2022-11,-36.6643,12.4812
2022-12,-35.3084,3.2261
2023-01,-28.176,11.6212
2023-02,-28.3677,7.2756
2023-03,-27.4975,13.297
2023-04,-29.5691,15.1068
2023-05,-20.3769,15.238
2023-06,-14.6896,24.5864
2023-07,-13.4304,29.2325
2023-08,-23.2375,25.7701
2023-09,-24.6206,17.3019
2023-10,-27.7529,13.327
2023-11,-5.7513,26.6373
2023-12,0.1055,33.4863
2024-01,-1.5858,35.4959
2024-02,-5.2974,43.756
2024-03,-18.5585,50.0665
2024-04,-21.3515,41.6435
2024-05,-30.5715,49.8718
2024-06,-30.4665,57.0798
2024-07,-32.3683,58.3967
2024-08,-40.0366,62.1664
2024-09,-38.8858,66.8141
2024-10,-38.0467,63.9034
2024-11,-4.618,74.8182
2024-12,-15.6263,68.8196
2025-01,-0.5038,73.3979
2025-02,-2.9039,69.7104
2025-03,-19.7843,57.1222
2025-04,-12.1422,54.6742
2025-05,13.4481,65.9387
2025-06,23.1708,75.5609
2025-07,22.683,79.4447
2025-08,30.7459,82.9342
2025-09,23.1063,89.7147
2025-10,49.5059,94.0595
2025-11,35.9619,93.4473
2025-12,18.2594,92.5289
2026-01,3.6636,94.7769
2026-02,-9.4205,91.8207
2026-03,-18.7316,78.6481
2026-04,-26.2251,100.4246
2026-05,38.6535,111.8758
2026-06,37.4303,107.5615
2026-07,57.6751,106.352
2026-08,80.3939,115.2761
