Date,rate_AKAM_5D,rate_VOO_20D
2016-01,-2.4704,1.4254
2016-02,17.4999,0.6142
2016-03,13.9889,6.1243
2016-04,5.3192,4.6014
2016-05,11.5709,5.2878
2016-06,1.9809,4.687
2016-07,-7.9623,7.7174
2016-08,0.6908,6.8637
2016-09,-2.947,5.9421
2016-10,27.6079,3.4868
2016-11,19.2192,6.843
2016-12,17.0692,8.2789
2017-01,18.7352,9.3935
2017-02,7.0482,12.821
2017-03,1.5529,12.0413
2017-04,3.6543,12.4367
2017-05,-20.0055,13.2406
2017-06,-14.4666,14.1802
2017-07,-18.4441,15.6892
2017-08,-17.3202,15.2834
2017-09,-13.7125,16.8657
2017-10,-6.8099,18.7799
2017-11,-0.3744,21.509
2017-12,16.0108,22.1709
2018-01,18.6681,27.9258
2018-02,14.7937,22.2578
2018-03,21.4672,18.4465
2018-04,20.4155,18.162
2018-05,25.9217,20.337
2018-06,21.3434,20.5057
2018-07,23.867,24.0401
2018-08,23.0134,27.2093
2018-09,19.0835,27.1082
2018-10,17.4039,17.9327
2018-11,10.623,19.5577
2018-12,-2.2801,8.5722
2019-01,4.2241,16.8959
2019-02,11.3169,20.2219
2019-03,13.567,21.9603
2019-04,24.7524,26.2654
2019-05,16.859,20.4953
2019-06,20.5652,25.3574
2019-07,32.048,26.514
2019-08,27.2219,24.0717
2019-09,26.9318,25.9454
2019-10,19.8578,27.4086
2019-11,20.2597,31.384
2019-12,18.8176,34.5804
2020-01,27.9878,33.8021
2020-02,22.3403,22.3336
2020-03,24.8224,15.1867
2020-04,37.7994,29.6272
2020-05,41.7901,28.2305
2020-06,37.652,28.0341
2020-07,42.9478,33.4885
2020-08,49.5325,42.106
2020-09,39.9081,38.2475
2020-10,31.9384,34.0563
2020-11,36.5936,42.9575
2020-12,37.9182,47.5016
2021-01,43.6668,45.1166
2021-02,21.6453,43.0879
2021-03,30.7494,49.8512
2021-04,38.9454,56.911
2021-05,45.3511,54.6413
2021-06,45.7995,57.2758
2021-07,47.8726,60.2291
2021-08,38.984,64.0213
2021-09,27.832,55.5224
2021-10,26.4051,65.5435
2021-11,34.6152,65.5034
2021-12,39.2933,68.4598
2022-01,35.8529,58.7763
2022-02,27.9279,53.2596
2022-03,40.652,58.2953
2022-04,34.6229,52.2757
2022-05,32.7365,51.0659
2022-06,19.5953,38.0304
2022-07,25.724,50.1558
2022-08,17.6712,43.3725
2022-09,4.4772,29.6913
2022-10,14.7695,39.7003
2022-11,13.4937,46.8631
2022-12,5.6215,40.5677
2023-01,11.3298,48.7988
2023-02,3.781,45.5387
2023-03,8.2262,49.6635
2023-04,12.128,48.4614
2023-05,22.0207,48.1923
2023-06,21.0407,57.2072
2023-07,25.5655,61.7125
2023-08,35.0418,59.5229
2023-09,36.1761,51.3631
2023-10,32.2874,47.5518
2023-11,43.5049,60.474
2023-12,46.5157,67.125
2024-01,52.059,69.1001
2024-02,36.3835,77.1309
2024-03,33.3724,83.2841
2024-04,23.4588,75.177
2024-05,12.6216,83.1784
2024-06,9.8668,90.182
2024-07,19.7662,90.9416
2024-08,17.3466,97.1965
2024-09,17.0212,98.31
2024-10,17.678,95.5089
2024-11,11.9646,105.9957
2024-12,13.7853,100.2436
2025-01,18.7568,104.6582
2025-02,-4.2153,101.1287
2025-03,-4.414,89.045
2025-04,-2.4624,88.6819
2025-05,-8.048,99.6712
2025-06,-3.3579,109.046
2025-07,-7.5751,112.823
2025-08,-2.3392,112.1707
2025-09,-5.9418,118.6779
2025-10,-8.6685,122.8639
2025-11,8.9539,122.3204
2025-12,6.1335,121.4705
2026-01,18.1095,123.6468
2026-02,8.0404,120.852
