Date,rate_ONDO-USD_5D,rate_VOO_20D
2024-01,0.0,2.2406
2024-02,77.9698,10.2715
2024-03,234.6655,16.4246
2024-04,124.6498,8.3175
2024-05,202.5876,16.3189
2024-06,157.9379,23.3226
2024-07,86.0822,24.0821
2024-08,40.7625,30.337
2024-09,54.1559,31.4506
2024-10,22.7148,28.6494
2024-11,103.4225,39.1363
2024-12,112.27,33.3842
2025-01,124.9383,37.7988
2025-02,44.392,34.2692
2025-03,4.7662,22.1855
2025-04,21.4434,21.8225
2025-05,-2.8791,32.8118
2025-06,-7.4264,42.1865
2025-07,14.5681,45.9635
2025-08,6.0802,45.3113
2025-09,-1.1918,51.8184
2025-10,-23.3811,56.0044
2025-11,-42.9807,55.461
2025-12,-58.0146,54.6111
2026-01,-61.8674,56.7873
2026-02,-66.4103,53.9925
