Date,rate_KIM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.4352,-0.6039
2016-03,4.7939,5.2168
2016-04,1.9203,3.9893
2016-05,1.3572,4.6886
2016-06,12.3097,4.1237
2016-07,13.8786,7.1795
2016-08,4.905,6.3603
2016-09,0.51,5.6281
2016-10,-6.6658,3.196
2016-11,-9.6237,6.7601
2016-12,-9.1282,8.3626
2017-01,-10.0912,10.2536
2017-02,-11.5787,13.6522
2017-03,-18.5887,12.7005
2017-04,-23.2647,12.9818
2017-05,-32.4536,13.693
2017-06,-27.4757,13.5288
2017-07,-17.7472,15.0481
2017-08,-19.2497,14.5515
2017-09,-18.6521,16.1037
2017-10,-22.4506,17.9557
2017-11,-20.0226,20.6805
2017-12,-19.5612,21.3029
2018-01,-29.3296,28.0338
2018-02,-32.2426,22.1441
2018-03,-33.6062,18.3021
2018-04,-30.423,18.0902
2018-05,-24.7595,20.2208
2018-06,-16.347,20.3415
2018-07,-15.7938,23.8746
2018-08,-13.147,27.0072
2018-09,-15.0242,27.7347
2018-10,-16.4435,18.1437
2018-11,-14.5415,19.7418
2018-12,-21.6161,8.5778
2019-01,-9.2297,17.1263
2019-02,-5.9165,20.3748
2019-03,-0.8443,22.0514
2019-04,-5.3493,26.2651
2019-05,-5.1652,17.5943
2019-06,0.8358,25.308
2019-07,6.447,26.4355
2019-08,1.7088,23.7232
2019-09,15.54,26.1617
2019-10,20.5291,28.2707
2019-11,20.3443,32.1761
2019-12,16.4299,35.3247
2020-01,7.2227,35.2749
2020-02,-2.5327,23.5454
2020-03,-45.6734,7.7105
2020-04,-35.1802,21.425
2020-05,-33.1783,26.7132
2020-06,-22.1633,28.4357
2020-07,-32.0308,35.3124
2020-08,-26.2217,43.9511
2020-09,-29.6538,37.6938
2020-10,-35.4599,33.4637
2020-11,-8.2878,47.2943
2020-12,-3.5472,51.8455
2021-01,5.9889,50.305
2021-02,17.5645,53.4604
2021-03,20.9916,59.4101
2021-04,35.007,66.6882
2021-05,36.3759,66.6274
2021-06,33.866,69.2184
2021-07,36.3258,72.1455
2021-08,38.6518,75.992
2021-09,32.4939,66.6118
2021-10,43.5975,77.1553
2021-11,41.7505,74.6519
2021-12,56.2349,81.397
2022-01,52.9192,70.7122
2022-02,47.5508,64.6001
2022-03,55.3709,69.8532
2022-04,58.4874,54.0273
2022-05,47.2286,53.6333
2022-06,23.7895,40.2902
2022-07,37.9922,52.5094
2022-08,31.087,45.531
2022-09,15.4628,31.5965
2022-10,33.7771,41.7445
2022-11,42.92,48.9584
2022-12,32.9937,39.838
2023-01,40.943,48.5632
2023-02,28.8338,44.2258
2023-03,23.1713,48.9578
2023-04,20.7376,50.6836
2023-05,15.4116,50.7741
2023-06,25.0701,59.884
2023-07,28.1173,64.3798
2023-08,19.4581,60.953
2023-09,12.1776,52.6248
2023-10,14.3274,48.7132
2023-11,22.9265,61.6976
2023-12,37.3429,68.3392
2024-01,30.2982,71.0275
2024-02,27.0638,79.0476
2024-03,27.3365,83.99
2024-04,20.7434,75.7344
2024-05,25.2421,83.6813
2024-06,27.1503,89.2836
2024-07,41.6725,90.5002
2024-08,51.1571,94.0822
2024-09,52.4567,98.2932
2024-10,55.1838,95.412
2024-11,66.6624,105.8418
2024-12,53.7235,99.9875
2025-01,47.3625,105.351
2025-02,44.6081,101.7087
2025-03,40.1803,89.4719
2025-04,31.4907,87.0451
2025-05,39.5317,97.8575
2025-06,39.2126,107.0685
2025-07,40.19,110.7404
2025-08,48.1229,114.0337
2025-09,45.5544,121.6081
2025-10,37.2466,125.7153
2025-11,36.9071,125.0226
2025-12,35.7091,124.0393
2026-01,41.0634,127.2713
2026-02,51.1231,125.3185
