Date,rate_DLTR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.9184,-3.7423
2016-03,1.9714,0.3764
2016-04,2.8614,5.1946
2016-05,-2.2918,3.5695
2016-06,11.8139,4.8356
2016-07,13.4203,4.3651
2016-08,15.4358,7.2005
2016-09,-2.7764,6.5176
2016-10,-7.4617,5.8316
2016-11,-11.5116,2.6321
2016-12,3.5023,6.5262
2017-01,-7.9919,8.6002
2017-02,-8.3328,9.8701
2017-03,-7.2013,14.9815
2017-04,-4.7614,12.5254
2017-05,-1.6819,13.1716
2017-06,-1.8204,14.581
2017-07,-14.7045,14.626
2017-08,-10.1324,16.4591
2017-09,0.3332,15.9061
2017-10,7.4407,17.2911
2017-11,12.4022,19.4181
2017-12,26.4548,21.7575
2018-01,30.5808,22.6249
2018-02,37.2612,28.3844
2018-03,24.1586,21.0506
2018-04,12.3776,18.8566
2018-05,13.1469,18.843
2018-06,-4.5195,22.0592
2018-07,0.0045,20.962
2018-08,5.7542,24.4135
2018-09,-5.4451,27.7869
2018-10,-3.2714,28.1445
2018-11,-0.0221,19.3954
2018-12,2.1777,19.8359
2019-01,6.2922,8.7501
2019-02,13.6037,17.203
2019-03,12.8566,21.2677
2019-04,21.119,23.6016
2019-05,27.483,25.5902
2019-06,17.4889,17.8911
2019-07,26.8653,26.7327
2019-08,12.0193,25.8061
2019-09,16.1363,24.2046
2019-10,29.1399,24.595
2019-11,26.7909,29.5299
2019-12,3.311,32.3145
2020-01,6.1635,35.5516
2020-02,-1.8339,34.7733
2020-03,-6.3556,23.2161
2020-04,-17.6278,2.6957
2020-05,-12.2447,17.923
2020-06,9.4264,27.1545
2020-07,6.0037,29.2791
2020-08,5.8473,35.3897
2020-09,6.1149,45.4969
2020-10,3.9578,38.8421
2020-11,2.135,33.8054
2020-12,27.0449,49.4413
2021-01,21.6928,52.4925
2021-02,13.272,52.5474
2021-03,11.2292,57.1165
2021-04,29.7385,62.2404
2021-05,28.1238,68.0147
2021-06,9.8864,67.9506
2021-07,10.8781,71.7835
2021-08,10.5813,73.9065
2021-09,-0.4201,78.108
2021-10,8.4264,70.559
2021-11,22.4313,79.7147
2021-12,46.1927,74.8714
2022-01,54.2433,83.8439
2022-02,46.6388,74.2485
2022-03,51.9567,64.4857
2022-04,72.6132,72.8765
2022-05,74.9081,56.3809
2022-06,72.3921,54.7432
2022-07,66.415,43.9638
2022-08,76.6134,54.5402
2022-09,44.7682,48.4061
2022-10,42.8706,33.808
2022-11,65.3772,43.6413
2022-12,55.8447,51.6237
2023-01,46.5968,42.3283
2023-02,58.5416,52.4008
2023-03,52.2872,45.8599
2023-04,47.0051,52.4428
2023-05,56.7957,54.1535
2023-06,31.6563,55.8684
2023-07,45.431,63.7729
2023-08,54.5557,67.9151
2023-09,19.4629,65.3142
2023-10,6.9095,56.4671
2023-11,11.8931,54.158
2023-12,26.4633,66.8181
2024-01,42.0912,72.7134
2024-02,35.254,77.0248
2024-03,47.6337,84.7703
2024-04,34.7303,89.0895
2024-05,17.2271,80.3005
2024-06,16.4532,89.1407
2024-07,5.7415,96.817
2024-08,-1.7058,94.9948
2024-09,-16.73,101.4737
2024-10,-30.4451,104.2286
2024-11,-33.9662,104.0979
2024-12,-28.9972,114.1559
2025-01,-25.0596,108.1307
2025-02,-26.4255,112.719
2025-03,-26.6792,109.0154
2025-04,-23.9359,97.097
2025-05,-17.7194,95.2965
2025-06,-8.4444,105.2137
2025-07,3.0392,114.7559
2025-08,16.4289,115.142
2025-09,10.6606,122.2543
2025-10,-8.5229,129.8729
2025-11,0.4682,133.4127
2025-12,11.3794,131.7276
2026-01,24.5702,131.8756
2026-02,51.9253,120.852
