Date,rate_EXPE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-15.5232,-3.7423
2016-03,-2.3606,0.3764
2016-04,-1.3797,5.1946
2016-05,5.8623,3.5695
2016-06,0.2125,4.8356
2016-07,-2.4569,4.3651
2016-08,6.6582,7.2005
2016-09,2.2253,6.5176
2016-10,5.2025,5.8316
2016-11,12.9854,2.6321
2016-12,8.4949,6.5262
2017-01,0.0668,8.6002
2017-02,6.6694,9.8701
2017-03,5.9046,14.9815
2017-04,10.7598,12.5254
2017-05,19.1808,13.1716
2017-06,27.0946,14.581
2017-07,27.4315,14.626
2017-08,29.1458,16.4591
2017-09,24.2048,15.9061
2017-10,19.486,17.2911
2017-11,0.56,19.4181
2017-12,1.3138,21.7575
2018-01,-1.1632,22.6249
2018-02,6.5902,28.3844
2018-03,-14.3802,21.0506
2018-04,-8.2578,18.8566
2018-05,-5.391,18.843
2018-06,0.4873,22.0592
2018-07,0.6098,20.962
2018-08,11.9185,24.4135
2018-09,9.1157,27.7869
2018-10,8.6861,28.1445
2018-11,6.1813,19.3954
2018-12,0.5946,19.8359
2019-01,-6.2027,8.7501
2019-02,1.7361,17.203
2019-03,4.439,21.2677
2019-04,0.4086,23.6016
2019-05,7.5423,25.5902
2019-06,-3.8873,17.8911
2019-07,11.4612,26.7327
2019-08,9.6652,25.8061
2019-09,8.6354,24.2046
2019-10,11.6167,24.595
2019-11,14.597,29.5299
2019-12,-15.4064,32.3145
2020-01,-9.6753,35.5516
2020-02,-9.2204,34.7733
2020-03,-17.2829,23.2161
2020-04,-55.9212,2.6957
2020-05,-41.5716,17.923
2020-06,-27.4757,27.1545
2020-07,-25.1788,29.2791
2020-08,-27.7807,35.3897
2020-09,-10.9143,45.4969
2020-10,-17.192,38.8421
2020-11,-15.0107,33.8054
2020-12,14.2778,49.4413
2021-01,19.6217,52.4925
2021-02,14.703,52.5474
2021-03,44.9821,57.1165
2021-04,57.4101,62.2404
2021-05,56.7784,68.0147
2021-06,56.8588,67.9506
2021-07,46.9515,71.7835
2021-08,40.8556,73.9065
2021-09,27.4373,78.108
2021-10,47.5666,70.559
2021-11,44.671,79.7147
2021-12,34.0748,74.8714
2022-01,55.1087,83.8439
2022-02,60.6215,74.2485
2022-03,59.6225,64.4857
2022-04,67.5771,72.8765
2022-05,46.9651,56.3809
2022-06,5.7182,54.7432
2022-07,-19.3216,43.9638
2022-08,-13.7142,54.5402
2022-09,-14.4356,48.4061
2022-10,-21.035,33.808
2022-11,-19.1139,43.6413
2022-12,-10.1764,51.6237
2023-01,-25.6202,42.3283
2023-02,0.5112,52.4008
2023-03,-9.5037,45.8599
2023-04,-17.1878,52.4428
2023-05,-19.2264,54.1535
2023-06,-15.3746,55.8684
2023-07,-5.9828,63.7729
2023-08,3.8435,67.9151
2023-09,-5.8023,65.3142
2023-10,-11.3327,56.4671
2023-11,-19.6551,54.158
2023-12,20.3122,66.8181
2024-01,30.8587,72.7134
2024-02,30.3073,77.0248
2024-03,17.4023,84.7703
2024-04,14.1244,89.0895
2024-05,13.9137,80.3005
2024-06,-3.5554,89.1407
2024-07,4.7193,96.817
2024-08,3.8009,94.9948
2024-09,18.8052,101.4737
2024-10,24.9193,104.2286
2024-11,35.69,104.0979
2024-12,56.7712,114.1559
2025-01,57.6918,108.1307
2025-02,44.1892,112.719
2025-03,66.5048,109.0154
2025-04,40.8799,97.097
2025-05,32.3527,95.2965
2025-06,39.749,105.2137
2025-07,45.4934,114.7559
2025-08,48.4484,115.142
2025-09,78.9061,122.2543
2025-10,80.8442,129.8729
2025-11,81.8528,133.4127
2025-12,113.5678,131.7276
2026-01,132.6219,131.8756
2026-02,38.0161,120.852
