Date,rate_XLB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.6485,-1.8027
2016-03,8.1693,4.5695
2016-04,11.2716,3.6217
2016-05,8.6471,4.6859
2016-06,7.4237,4.2011
2016-07,11.7427,7.3141
2016-08,10.0498,6.5393
2016-09,8.6994,5.8417
2016-10,5.5728,3.4057
2016-11,12.2818,7.0013
2016-12,12.9503,8.6582
2017-01,17.0369,9.9058
2017-02,16.4299,13.4199
2017-03,15.5608,12.5861
2017-04,16.0297,12.9516
2017-05,15.1051,13.7442
2017-06,17.3909,14.6714
2017-07,18.2672,16.2352
2017-08,18.2723,15.7466
2017-09,22.9822,17.3266
2017-10,26.6507,19.2474
2017-11,26.6598,22.0133
2017-12,29.4465,22.6523
2018-01,33.3876,28.4864
2018-02,25.1971,22.6807
2018-03,20.1143,18.8927
2018-04,19.5411,18.6249
2018-05,21.307,20.8091
2018-06,22.0574,20.9812
2018-07,24.8087,24.5763
2018-08,23.1113,27.7899
2018-09,21.4348,27.6747
2018-10,9.6784,18.1983
2018-11,13.475,19.8597
2018-12,6.6215,8.8011
2019-01,12.395,17.1215
2019-02,15.6266,20.4441
2019-03,17.6694,22.1999
2019-04,21.2801,26.5012
2019-05,10.9355,17.9266
2019-06,24.8975,25.7011
2019-07,23.9428,26.9004
2019-08,19.9242,24.2426
2019-09,24.5179,26.142
2019-10,24.0571,28.3311
2019-11,27.4379,32.3256
2019-12,31.8933,35.5485
2020-01,23.1498,34.7719
2020-02,12.2432,23.2511
2020-03,-3.725,7.5779
2020-04,11.0968,21.2186
2020-05,18.5525,26.5774
2020-06,20.7667,28.3766
2020-07,28.9427,35.3325
2020-08,34.017,44.0777
2020-09,35.3989,37.914
2020-10,33.8478,33.7633
2020-11,49.7346,47.7098
2020-12,52.5741,52.3667
2021-01,48.0465,49.9654
2021-02,53.3145,53.2453
2021-03,63.9799,60.4049
2021-04,71.7216,67.83
2021-05,79.2822,67.8968
2021-06,68.6764,70.6358
2021-07,71.1189,73.7106
2021-08,73.2892,77.7187
2021-09,59.8764,68.3779
2021-10,71.0542,79.119
2021-11,69.1116,76.6949
2021-12,80.8767,83.6042
2022-01,67.5534,72.9303
2022-02,64.5107,66.8181
2022-03,73.6703,72.1992
2022-04,66.5736,56.2223
2022-05,67.6563,55.8933
2022-06,43.7201,42.4002
2022-07,51.9519,54.8512
2022-08,46.0495,47.8158
2022-09,32.0223,33.7039
2022-10,43.3675,44.0824
2022-11,59.5447,51.4429
2022-12,50.0871,42.1877
2023-01,62.8997,50.5828
2023-02,56.7635,46.2373
2023-03,54.4948,52.2586
2023-04,53.6652,54.0684
2023-05,42.562,54.1996
2023-06,57.6835,63.548
2023-07,62.4451,68.1942
2023-08,56.4343,64.7317
2023-09,48.3991,56.2636
2023-10,43.1988,52.2886
2023-11,54.6515,65.5989
2023-12,61.0221,72.448
2024-01,54.1525,74.4576
2024-02,63.5707,82.7177
2024-03,73.4373,89.0282
2024-04,64.791,80.6052
2024-05,69.511,88.8335
2024-06,63.6779,96.0415
2024-07,70.1553,97.3583
2024-08,73.4178,101.128
2024-09,77.3277,105.7758
2024-10,71.1266,102.865
2024-11,72.9996,113.7798
2024-12,53.8009,107.7813
2025-01,61.7725,112.3595
2025-02,61.1565,108.6721
2025-03,56.3149,96.0839
2025-04,52.0209,93.6359
2025-05,55.9875,104.9003
2025-06,58.9299,114.5225
2025-07,58.2311,118.4064
2025-08,65.9134,121.8959
2025-09,61.3552,128.6764
2025-10,53.7666,133.0211
2025-11,59.985,132.409
2025-12,62.635,131.4906
2026-01,76.1184,133.7386
2026-02,90.2321,130.7823
2026-03,78.0394,117.6098
2026-04,82.7156,139.3863
2026-05,80.9245,150.8374
2026-06,79.8384,146.5232
2026-07,77.7946,145.3136
2026-08,83.5416,152.5742
