Date,rate_VRSN_5D,rate_VOO_20D
2016-01,0.5867,1.4254
2016-02,12.0581,0.6142
2016-03,11.998,6.1243
2016-04,6.2735,4.6014
2016-05,4.218,5.2878
2016-06,-0.0101,4.687
2016-07,1.0381,7.7174
2016-08,-13.1286,6.8637
2016-09,-7.3029,5.9421
2016-10,0.3179,3.4868
2016-11,-7.0314,6.843
2016-12,-9.8988,8.2789
2017-01,-4.3479,9.3935
2017-02,-1.5106,12.821
2017-03,3.9958,12.0413
2017-04,5.7739,12.4367
2017-05,6.8372,13.2406
2017-06,9.6247,14.1802
2017-07,18.6604,15.6892
2017-08,20.7678,15.2834
2017-09,22.8778,16.8657
2017-10,23.1263,18.7799
2017-11,30.6241,21.509
2017-12,28.6046,22.1709
2018-01,28.0203,27.9258
2018-02,28.1645,22.2578
2018-03,30.424,18.4465
2018-04,26.3245,18.162
2018-05,39.1666,20.337
2018-06,44.9198,20.5057
2018-07,51.5124,24.0401
2018-08,63.5301,27.2093
2018-09,63.0838,27.1082
2018-10,41.1496,17.9327
2018-11,52.9647,19.5577
2018-12,43.9468,8.5722
2019-01,62.9556,16.8959
2019-02,69.6328,20.2219
2019-03,71.1117,21.9603
2019-04,84.0738,26.2654
2019-05,77.1154,20.4953
2019-06,87.9269,25.3574
2019-07,87.5095,26.514
2019-08,82.5005,24.0717
2019-09,67.1765,25.9454
2019-10,66.9919,27.4086
2019-11,66.2139,31.384
2019-12,66.5088,34.5804
2020-01,78.3552,33.8021
2020-02,67.149,22.3336
2020-03,66.4653,15.1867
2020-04,93.4112,29.6272
2020-05,88.7426,28.2305
2020-06,79.4359,28.0341
2020-07,80.9298,33.4885
2020-08,77.8474,42.106
2020-09,68.15,38.2475
2020-10,62.8641,34.0563
2020-11,60.5061,42.9575
2020-12,71.9445,47.5016
2021-01,53.2995,45.1166
2021-02,52.2535,43.0879
2021-03,55.9304,49.8512
2021-04,70.6382,56.911
2021-05,69.959,54.6413
2021-06,74.1486,57.2758
2021-07,64.4255,60.2291
2021-08,63.4289,64.0213
2021-09,54.0379,55.5224
2021-10,66.4254,65.5435
2021-11,78.7462,65.5034
2021-12,83.6699,68.4598
2022-01,56.1763,58.7763
2022-02,52.9296,53.2596
2022-03,58.4268,58.2953
2022-04,46.3497,52.2757
2022-05,50.0645,51.0659
2022-06,43.2195,38.0304
2022-07,61.253,50.1558
2022-08,54.5733,43.3725
2022-09,46.6511,29.6913
2022-10,68.5735,39.7003
2022-11,56.0157,46.8631
2022-12,54.3317,40.5677
2023-01,63.1179,48.7988
2023-02,55.6134,45.5387
2023-03,64.2123,49.6635
2023-04,66.5425,48.4614
2023-05,67.0558,48.1923
2023-06,68.2812,57.2072
2023-07,56.3948,61.7125
2023-08,53.4505,59.5229
2023-09,49.0183,51.3631
2023-10,48.783,47.5518
2023-11,55.811,60.474
2023-12,50.6381,67.125
2024-01,44.9568,69.1001
2024-02,41.9006,77.1309
2024-03,37.2895,83.2841
2024-04,22.4439,75.177
2024-05,25.7007,83.1784
2024-06,27.9518,90.182
2024-07,34.2935,90.9416
2024-08,29.6875,97.1965
2024-09,33.668,98.31
2024-10,24.1557,95.5089
2024-11,31.1253,105.9957
2024-12,44.6574,100.2436
2025-01,49.8567,104.6582
2025-02,65.3018,101.1287
2025-03,70.9063,89.045
2025-04,83.3026,88.6819
2025-05,76.8362,99.6712
2025-06,86.6339,109.046
2025-07,72.0859,112.823
2025-08,74.2483,112.1707
2025-09,77.5504,118.6779
2025-10,51.7686,122.8639
2025-11,59.5149,122.3204
2025-12,53.3165,121.4705
2026-01,53.68,123.6468
2026-02,55.1918,120.852
