Date,rate_MCO_5D,rate_VOO_20D
2016-01,0.9878,1.4254
2016-02,1.4277,0.6142
2016-03,8.2287,6.1243
2016-04,4.9697,4.6014
2016-05,7.7301,5.2878
2016-06,-0.2071,4.687
2016-07,13.0876,7.7174
2016-08,14.6639,6.8637
2016-09,12.4584,5.9421
2016-10,3.3204,3.4868
2016-11,3.4451,6.843
2016-12,-3.1873,8.2789
2017-01,6.6066,9.3935
2017-02,14.1643,12.821
2017-03,13.8585,12.0413
2017-04,19.1849,12.4367
2017-05,18.5814,13.2406
2017-06,20.7822,14.1802
2017-07,29.4697,15.6892
2017-08,31.4542,15.2834
2017-09,34.9839,16.8657
2017-10,36.4457,18.7799
2017-11,43.9968,21.509
2017-12,38.2312,22.1709
2018-01,49.7844,27.9258
2018-02,49.9282,22.2578
2018-03,44.3197,18.4465
2018-04,42.9387,18.162
2018-05,49.7975,20.337
2018-06,47.9818,20.5057
2018-07,46.8694,24.0401
2018-08,52.414,27.2093
2018-09,41.6858,27.1082
2018-10,22.305,17.9327
2018-11,33.3345,19.5577
2018-12,16.5671,8.5722
2019-01,31.4305,16.8959
2019-02,43.8016,20.2219
2019-03,49.2055,21.9603
2019-04,60.6129,26.2654
2019-05,49.2389,20.4953
2019-06,58.0473,25.3574
2019-07,71.9178,26.514
2019-08,68.5962,24.0717
2019-09,57.0345,25.9454
2019-10,65.748,27.4086
2019-11,69.1803,31.384
2019-12,75.6989,34.5804
2020-01,88.2944,33.8021
2020-02,90.9569,22.3336
2020-03,81.6061,15.1867
2020-04,107.7577,29.6272
2020-05,109.041,28.2305
2020-06,102.7643,28.0341
2020-07,107.3268,33.4885
2020-08,115.3592,42.106
2020-09,107.2461,38.2475
2020-10,97.0146,34.0563
2020-11,97.8785,42.9575
2020-12,101.753,47.5016
2021-01,89.0665,45.1166
2021-02,93.8573,43.0879
2021-03,108.8665,49.8512
2021-04,126.6156,56.911
2021-05,123.579,54.6413
2021-06,139.5695,57.2758
2021-07,146.4027,60.2291
2021-08,147.7143,64.0213
2021-09,129.0158,55.5224
2021-10,156.6824,65.5435
2021-11,146.3935,65.5034
2021-12,144.2882,68.4598
2022-01,112.9726,58.7763
2022-02,98.9396,53.2596
2022-03,98.0898,58.2953
2022-04,91.4511,52.2757
2022-05,92.5563,51.0659
2022-06,77.258,38.0304
2022-07,101.0653,50.1558
2022-08,83.6915,43.3725
2022-09,56.0145,29.6913
2022-10,69.1383,39.7003
2022-11,86.2809,46.8631
2022-12,82.6897,40.5677
2023-01,106.2648,48.7988
2023-02,99.3059,45.5387
2023-03,104.4367,49.6635
2023-04,107.9669,48.4614
2023-05,103.9565,48.1923
2023-06,122.5053,57.2072
2023-07,119.128,61.7125
2023-08,108.5228,59.5229
2023-09,94.6462,51.3631
2023-10,88.629,47.5518
2023-11,123.295,60.474
2023-12,137.4509,67.125
2024-01,136.9511,69.1001
2024-02,128.4481,77.1309
2024-03,135.2904,83.2841
2024-04,120.4243,75.177
2024-05,135.4776,83.1784
2024-06,148.2351,90.182
2024-07,158.048,90.9416
2024-08,174.5621,97.1965
2024-09,157.9851,98.31
2024-10,147.785,95.5089
2024-11,165.5462,105.9957
2024-12,149.967,100.2436
2025-01,162.2692,104.6582
2025-02,161.4161,101.1287
2025-03,155.8983,89.045
2025-04,150.717,88.6819
2025-05,165.3145,99.6712
2025-06,170.0089,109.046
2025-07,176.0977,112.823
2025-08,172.8957,112.1707
2025-09,153.69,118.6779
2025-10,154.4001,122.8639
2025-11,160.1245,122.3204
2025-12,169.3786,121.4705
2026-01,170.4144,123.6468
2026-02,149.3139,120.852
