Date,rate_AOS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.3204,-1.8027
2016-03,5.3826,4.5695
2016-04,5.1141,3.6217
2016-05,10.898,4.6859
2016-06,16.6933,4.2011
2016-07,20.9461,7.3141
2016-08,22.8945,6.5393
2016-09,23.239,5.8417
2016-10,10.8988,3.4057
2016-11,18.4,7.0013
2016-12,13.7453,8.6582
2017-01,17.0134,9.9058
2017-02,19.6645,13.4199
2017-03,20.1344,12.5861
2017-04,25.5073,12.9516
2017-05,26.308,13.7442
2017-06,28.1268,14.6714
2017-07,20.7274,16.2352
2017-08,24.4438,15.7466
2017-09,31.5347,17.3266
2017-10,29.9044,19.2474
2017-11,37.703,22.0133
2017-12,31.5871,22.6523
2018-01,42.3877,28.4864
2018-02,35.3075,22.6807
2018-03,32.8748,18.8927
2018-04,28.1852,18.6249
2018-05,30.7593,20.8091
2018-06,21.6597,20.9812
2018-07,22.1044,24.5763
2018-08,18.5099,27.7899
2018-09,8.4005,27.6747
2018-10,-7.2934,18.1983
2018-11,-3.4976,19.8597
2018-12,-12.9295,8.8011
2019-01,-1.5874,17.1215
2019-02,6.7885,20.4441
2019-03,9.4304,22.1999
2019-04,8.0789,26.5012
2019-05,-16.8436,17.9266
2019-06,-2.7262,25.7011
2019-07,-5.7217,26.9004
2019-08,-3.2576,24.2426
2019-09,-0.7126,26.142
2019-10,3.9369,28.3311
2019-11,1.149,32.3256
2019-12,-0.4599,35.5485
2020-01,-10.2742,34.7719
2020-02,-16.6759,23.2511
2020-03,-20.0234,7.5779
2020-04,-9.2987,21.2186
2020-05,1.8821,26.5774
2020-06,1.0407,28.3766
2020-07,3.7532,35.3325
2020-08,5.4716,44.0777
2020-09,13.5941,37.914
2020-10,11.5136,33.7633
2020-11,21.2547,47.7098
2020-12,17.7419,52.3667
2021-01,16.8948,49.9654
2021-02,27.4226,53.2453
2021-03,44.5569,60.4049
2021-04,44.7051,67.83
2021-05,51.0654,67.8968
2021-06,52.3726,70.6358
2021-07,48.5009,73.7106
2021-08,52.8026,77.7187
2021-09,27.7098,68.3779
2021-10,52.8811,79.119
2021-11,64.5261,76.6949
2021-12,77.6852,83.6042
2022-01,58.9585,72.9303
2022-02,41.9837,66.8181
2022-03,31.7978,72.1992
2022-04,20.7006,56.2223
2022-05,23.91,55.8933
2022-06,12.4235,42.4002
2022-07,30.4246,54.8512
2022-08,16.0757,47.8158
2022-09,-0.2605,33.7039
2022-10,14.2976,44.0824
2022-11,26.5346,51.4429
2022-12,18.9573,42.1877
2023-01,41.0264,50.5828
2023-02,36.1993,46.2373
2023-03,43.0382,52.2586
2023-04,41.396,54.0684
2023-05,31.9206,54.1996
2023-06,49.7256,63.548
2023-07,50.7154,68.1942
2023-08,49.8954,64.7317
2023-09,36.2329,56.2636
2023-10,43.9533,52.2886
2023-11,54.9711,65.5989
2023-12,68.8716,72.448
2024-01,58.9696,74.4576
2024-02,69.1069,82.7177
2024-03,81.7084,89.0282
2024-04,68.1695,80.6052
2024-05,69.1107,88.8335
2024-06,64.6912,96.0415
2024-07,71.2607,97.3583
2024-08,67.9766,101.128
2024-09,79.5317,105.7758
2024-10,50.1735,102.865
2024-11,48.4826,113.7798
2024-12,35.5667,107.7813
2025-01,34.1114,112.3595
2025-02,33.509,108.6721
2025-03,30.9644,96.0839
2025-04,36.3571,93.6359
2025-05,28.9356,104.9003
2025-06,31.2006,114.5225
2025-07,41.9917,118.4064
2025-08,42.6368,121.8959
2025-09,46.4997,128.6764
2025-10,32.067,133.0211
2025-11,33.2082,132.409
2025-12,34.7411,131.4906
2026-01,49.1745,133.7386
2026-02,58.6505,130.7823
2026-03,38.1364,126.4154
