Date,rate_SHOP_5D,rate_VOO_20D
2016-01,-9.7,-3.28
2016-02,-8.9235,-1.8027
2016-03,17.9463,4.5695
2016-04,27.8455,3.6217
2016-05,12.4614,4.6859
2016-06,14.9147,4.2011
2016-07,25.6033,7.3141
2016-08,47.7947,6.5393
2016-09,48.0496,5.8417
2016-10,38.3422,3.4057
2016-11,35.7217,7.0013
2016-12,36.9943,8.6582
2017-01,59.0015,9.9058
2017-02,80.2591,13.4199
2017-03,101.067,12.5861
2017-04,117.2152,12.9516
2017-05,154.2345,13.7442
2017-06,132.3178,14.6714
2017-07,139.5297,16.2352
2017-08,178.5516,15.7466
2017-09,183.6054,17.3266
2017-10,135.1088,19.2474
2017-11,139.3611,22.0133
2017-12,127.2351,22.6523
2018-01,181.3266,28.4864
2018-02,196.4665,22.6807
2018-03,160.7357,18.8927
2018-04,173.4884,18.6249
2018-05,196.616,20.8091
2018-06,185.6964,20.9812
2018-07,164.9878,24.5763
2018-08,173.8943,27.7899
2018-09,203.2609,27.6747
2018-10,149.7576,18.1983
2018-11,171.1139,19.8597
2018-12,141.5801,8.8011
2019-01,189.2825,17.1215
2019-02,219.1476,20.4441
2019-03,242.4388,22.1999
2019-04,296.4559,26.5012
2019-05,339.3249,17.9266
2019-06,370.8461,25.7011
2019-07,389.4799,26.9004
2019-08,482.4846,24.2426
2019-09,362.3965,26.142
2019-10,357.2923,28.3311
2019-11,382.8998,32.3256
2019-12,460.693,35.5485
2020-01,545.6723,34.7719
2020-02,531.5563,23.2511
2020-03,458.9662,7.5779
2020-04,734.4936,21.2186
2020-05,883.5703,26.5774
2020-06,1111.4551,28.3766
2020-07,1184.9778,35.3325
2020-08,1216.1609,44.0777
2020-09,1141.9752,37.914
2020-10,1005.705,33.7633
2020-11,1182.6851,47.7098
2020-12,1211.1507,52.3667
2021-01,1153.2435,49.9654
2021-02,1339.4959,53.2453
2021-03,1125.0616,60.4049
2021-04,1190.3477,67.83
2021-05,1236.9543,67.8968
2021-06,1449.4978,70.6358
2021-07,1468.5954,73.7106
2021-08,1472.6233,77.7187
2021-09,1279.3518,68.3779
2021-10,1372.4425,79.119
2021-11,1407.5926,76.6949
2021-12,1246.9119,83.6042
2022-01,830.9998,72.9303
2022-02,562.277,66.8181
2022-03,537.5659,72.1992
2022-04,298.1359,56.2223
2022-05,246.5255,55.8933
2022-06,186.0168,42.4002
2022-07,216.238,54.8512
2022-08,184.8726,47.8158
2022-09,140.5645,33.7039
2022-10,203.4557,44.0824
2022-11,259.4335,51.4429
2022-12,202.5235,42.1877
2023-01,325.9907,50.5828
2023-02,252.5332,46.2373
2023-03,307.437,52.2586
2023-04,308.2395,54.0684
2023-05,377.8073,54.1996
2023-06,434.9419,63.548
2023-07,454.6115,68.1942
2023-08,440.8087,64.7317
2023-09,339.9876,56.2636
2023-10,277.3699,52.2886
2023-11,477.7029,65.5989
2023-12,512.6543,72.448
2024-01,524.284,74.4576
2024-02,490.3829,82.7177
2024-03,491.5575,89.0282
2024-04,433.6567,80.6052
2024-05,346.0586,88.8335
2024-06,394.2874,96.0415
2024-07,354.4736,97.3583
2024-08,445.9568,101.128
2024-09,486.09,105.7758
2024-10,467.5233,102.865
2024-11,732.3175,113.7798
2024-12,659.3508,107.7813
2025-01,727.4657,112.3595
2025-02,687.1259,108.6721
2025-03,565.7718,96.0839
2025-04,557.3804,93.6359
2025-05,636.3353,104.9003
2025-06,686.1515,114.5225
2025-07,726.5975,118.4064
2025-08,848.3413,121.8959
2025-09,889.9071,128.6764
2025-10,1049.2452,133.0211
2025-11,940.6027,132.409
2025-12,947.9776,131.4906
2026-01,748.0128,133.7386
2026-02,674.5352,130.7823
2026-03,660.4528,129.7769
