Date,rate_ORCL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.4929,-3.7423
2016-03,5.3266,0.3764
2016-04,12.1556,5.1946
2016-05,6.0437,3.5695
2016-06,5.8665,4.8356
2016-07,6.8257,4.3651
2016-08,7.7528,7.2005
2016-09,6.7961,6.5176
2016-10,1.1869,5.8316
2016-11,0.1063,2.6321
2016-12,0.7111,6.5262
2017-01,-0.0066,8.6002
2017-02,3.9908,9.8701
2017-03,11.7151,14.9815
2017-04,15.2953,12.5254
2017-05,15.9477,13.1716
2017-06,16.8924,14.581
2017-07,26.9633,14.626
2017-08,26.0647,16.4591
2017-09,25.9001,15.9061
2017-10,19.0717,17.2911
2017-11,24.2631,19.4181
2017-12,20.6975,21.7575
2018-01,14.2029,22.6249
2018-02,24.542,28.3844
2018-03,18.9976,21.0506
2018-04,8.8671,18.8566
2018-05,9.4722,18.843
2018-06,12.467,22.0592
2018-07,4.2627,20.962
2018-08,12.3458,24.4135
2018-09,14.8647,27.7869
2018-10,21.9947,28.1445
2018-11,14.2703,19.3954
2018-12,14.2577,19.8359
2019-01,5.4292,8.7501
2019-02,18.9207,17.203
2019-03,22.3818,21.2677
2019-04,26.607,23.6016
2019-05,27.1853,25.5902
2019-06,16.6523,17.8911
2019-07,33.2779,26.7327
2019-08,28.1847,25.8061
2019-09,18.8225,24.2046
2019-10,22.3593,24.595
2019-11,25.1331,29.5299
2019-12,27.1782,32.3145
2020-01,19.4833,35.5516
2020-02,18.4318,34.7733
2020-03,11.3304,23.2161
2020-04,9.4215,2.6957
2020-05,16.6839,17.923
2020-06,19.2203,27.1545
2020-07,24.3061,29.2791
2020-08,24.3087,35.3897
2020-09,28.8094,45.4969
2020-10,32.797,38.8421
2020-11,24.8517,33.8054
2020-12,30.2605,49.4413
2021-01,42.8978,52.4925
2021-02,35.7306,52.5474
2021-03,45.3913,57.1165
2021-04,57.0001,62.2404
2021-05,65.4557,68.0147
2021-06,72.6482,67.9506
2021-07,71.4813,71.7835
2021-08,87.3813,73.9065
2021-09,92.0951,78.108
2021-10,90.3136,70.559
2021-11,100.8175,79.7147
2021-12,89.6124,74.8714
2022-01,83.0355,83.8439
2022-02,69.6951,74.2485
2022-03,58.2772,64.4857
2022-04,69.9313,72.8765
2022-05,51.9255,56.3809
2022-06,47.5401,54.7432
2022-07,45.4313,43.9638
2022-08,58.9378,54.5402
2022-09,53.8274,48.4061
2022-10,24.2176,33.808
2022-11,57.1181,43.6413
2022-12,70.6286,51.6237
2023-01,65.0024,42.3283
2023-02,81.5764,52.4008
2023-03,73.1843,45.8599
2023-04,85.4762,52.4428
2023-05,89.17,54.1535
2023-06,110.2217,55.8684
2023-07,134.8271,63.7729
2023-08,131.816,67.9151
2023-09,136.2821,65.3142
2023-10,105.67,56.4671
2023-11,104.9889,54.158
2023-12,125.88,66.8181
2024-01,102.0841,72.7134
2024-02,121.0517,77.0248
2024-03,116.4851,84.7703
2024-04,137.4475,89.0895
2024-05,116.4119,80.3005
2024-06,120.0649,89.1407
2024-07,167.2627,96.817
2024-08,156.0214,94.9948
2024-09,161.516,101.4737
2024-10,207.5782,104.2286
2024-11,211.5792,104.0979
2024-12,236.5868,114.1559
2025-01,201.4696,108.1307
2025-02,207.9271,112.719
2025-03,198.8356,109.0154
2025-04,153.8982,97.097
2025-05,159.7285,95.2965
2025-06,193.8936,105.2137
2025-07,286.5061,114.7559
2025-08,329.5427,115.142
2025-09,294.77,122.2543
2025-10,401.3227,129.8729
2025-11,353.299,133.4127
2025-12,244.5756,131.7276
2026-01,232.2575,131.8756
2026-02,147.3555,131.1612
