Date,rate_PNC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.5431,-1.8027
2016-03,-3.2715,4.5695
2016-04,1.5332,3.6217
2016-05,3.4586,4.6859
2016-06,-6.5821,4.2011
2016-07,-3.4637,7.3141
2016-08,5.6637,6.5393
2016-09,5.0356,5.8417
2016-10,11.5005,3.4057
2016-11,27.57,7.0013
2016-12,32.3398,8.6582
2017-01,34.3373,9.9058
2017-02,39.2385,13.4199
2017-03,28.9977,12.5861
2017-04,27.2478,12.9516
2017-05,24.4705,13.7442
2017-06,29.423,14.6714
2017-07,32.6526,16.2352
2017-08,27.5055,15.7466
2017-09,35.553,17.3266
2017-10,36.6817,19.2474
2017-11,38.7854,22.0133
2017-12,40.7906,22.6523
2018-01,53.06,28.4864
2018-02,50.6398,22.6807
2018-03,42.7618,18.8927
2018-04,38.0835,18.6249
2018-05,34.7147,20.8091
2018-06,25.7891,20.9812
2018-07,34.8103,24.5763
2018-08,32.5268,27.7899
2018-09,24.8145,27.6747
2018-10,17.9542,18.1983
2018-11,24.0488,19.8597
2018-12,6.2929,8.8011
2019-01,12.1977,17.1215
2019-02,14.9241,20.4441
2019-03,11.4791,22.1999
2019-04,24.881,26.5012
2019-05,15.5611,17.9266
2019-06,24.2322,25.7011
2019-07,29.7048,26.9004
2019-08,16.5396,24.2426
2019-09,26.2788,26.142
2019-10,32.6401,28.3311
2019-11,37.7447,32.3256
2019-12,42.6829,35.5485
2020-01,32.996,34.7719
2020-02,12.6215,23.2511
2020-03,-14.8772,7.5779
2020-04,-3.6172,21.2186
2020-05,3.2154,26.5774
2020-06,-4.8168,28.3766
2020-07,-2.3276,35.3325
2020-08,1.8545,44.0777
2020-09,0.6364,37.914
2020-10,3.4838,33.7633
2020-11,27.5718,47.7098
2020-12,37.1186,52.3667
2021-01,35.7049,49.9654
2021-02,58.3519,53.2453
2021-03,63.9606,60.4049
2021-04,74.7202,67.83
2021-05,80.7406,67.8968
2021-06,75.8974,70.6358
2021-07,68.2612,73.7106
2021-08,75.2177,77.7187
2021-09,78.2713,68.3779
2021-10,92.1813,79.119
2021-11,78.2198,76.6949
2021-12,80.3091,83.6042
2022-01,88.5602,72.9303
2022-02,81.137,66.8181
2022-03,66.7761,72.1992
2022-04,50.7806,56.2223
2022-05,58.5229,55.8933
2022-06,41.9419,42.4002
2022-07,50.0382,54.8512
2022-08,42.2735,47.8158
2022-09,34.0573,33.7039
2022-10,48.7373,44.0824
2022-11,54.0265,51.4429
2022-12,44.0094,42.1877
2023-01,55.7279,50.5828
2023-02,48.0701,46.2373
2023-03,18.7738,52.2586
2023-04,22.8933,54.0684
2023-05,9.2241,54.1996
2023-06,18.5996,63.548
2023-07,33.0257,68.1942
2023-08,17.0704,64.7317
2023-09,18.846,56.2636
2023-10,12.1324,52.2886
2023-11,31.0642,65.5989
2023-12,51.0498,72.448
2024-01,53.0094,74.4576
2024-02,48.6924,82.7177
2024-03,62.6834,89.0282
2024-04,58.3691,80.6052
2024-05,62.0087,88.8335
2024-06,59.444,96.0415
2024-07,86.638,97.3583
2024-08,89.9667,101.128
2024-09,88.8647,105.7758
2024-10,93.1503,102.865
2024-11,119.2875,113.7798
2024-12,95.989,107.7813
2025-01,104.915,112.3595
2025-02,94.8065,108.6721
2025-03,77.6422,96.0839
2025-04,63.4018,93.6359
2025-05,76.1168,104.9003
2025-06,88.1696,114.5225
2025-07,92.9505,118.4064
2025-08,109.5408,121.8959
2025-09,102.0611,128.6764
2025-10,84.5125,133.0211
2025-11,92.0187,132.409
2025-12,109.2849,131.4906
2026-01,124.6113,133.7386
2026-02,112.6291,130.7823
2026-03,105.0308,126.4154
