Date,rate_V_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.8419,-3.7423
2016-03,-0.4383,0.3764
2016-04,3.6138,5.1946
2016-05,2.2222,3.5695
2016-06,4.5507,4.8356
2016-07,-2.4338,4.3651
2016-08,2.8682,7.2005
2016-09,6.662,6.5176
2016-10,7.7343,5.8316
2016-11,5.5542,2.6321
2016-12,-2.7136,6.5262
2017-01,0.8519,8.6002
2017-02,6.4881,9.8701
2017-03,14.6529,14.9815
2017-04,13.516,12.5254
2017-05,15.6949,13.1716
2017-06,20.1796,14.581
2017-07,17.0311,14.626
2017-08,24.9092,16.4591
2017-09,27.5755,15.9061
2017-10,27.8858,17.2911
2017-11,33.6278,19.4181
2017-12,31.9888,21.7575
2018-01,34.5335,22.6249
2018-02,46.811,28.3844
2018-03,39.1128,21.0506
2018-04,36.7684,18.8566
2018-05,44.3859,18.843
2018-06,46.8291,22.0592
2018-07,47.0408,20.962
2018-08,51.8925,24.4135
2018-09,59.887,27.7869
2018-10,62.2658,28.1445
2018-11,49.8347,19.3954
2018-12,49.5988,19.8359
2019-01,37.9993,8.7501
2019-02,45.4926,17.203
2019-03,54.1457,21.2677
2019-04,60.7157,23.6016
2019-05,64.7933,25.5902
2019-06,61.9975,17.8911
2019-07,73.0653,26.7327
2019-08,76.5163,25.8061
2019-09,76.6284,24.2046
2019-10,68.6061,24.595
2019-11,73.479,29.5299
2019-12,75.6001,32.3145
2020-01,77.2201,35.5516
2020-02,85.99,34.7733
2020-03,68.6077,23.2161
2020-04,40.8957,2.6957
2020-05,60.66,17.923
2020-06,76.8486,27.1545
2020-07,74.9089,29.2791
2020-08,70.518,35.3897
2020-09,89.9252,45.4969
2020-10,79.5175,38.8421
2020-11,59.1871,33.8054
2020-12,84.1324,49.4413
2021-01,89.2432,52.4925
2021-02,70.291,52.5474
2021-03,85.0087,57.1165
2021-04,83.8525,62.2404
2021-05,96.5979,68.0147
2021-06,89.5884,67.9506
2021-07,95.3055,71.7835
2021-08,103.149,73.9065
2021-09,88.5781,78.108
2021-10,87.5694,70.559
2021-11,71.7647,79.7147
2021-12,53.1316,74.8714
2022-01,73.6688,83.8439
2022-02,85.127,74.2485
2022-03,65.7528,64.4857
2022-04,78.5949,72.8765
2022-05,67.1817,56.3809
2022-06,64.1035,54.7432
2022-07,54.9189,43.9638
2022-08,63.6533,54.5402
2022-09,54.4924,48.4061
2022-10,36.5402,33.808
2022-11,58.5241,43.6413
2022-12,65.841,51.6237
2023-01,58.0275,42.3283
2023-02,74.8683,52.4008
2023-03,64.8861,45.8599
2023-04,69.4758,52.4428
2023-05,73.9598,54.1535
2023-06,68.9877,55.8684
2023-07,76.3745,63.7729
2023-08,77.2342,67.9151
2023-09,82.8526,65.3142
2023-10,68.686,56.4671
2023-11,74.2121,54.158
2023-12,86.798,66.8181
2024-01,88.7194,72.7134
2024-02,99.8503,77.0248
2024-03,103.5886,84.7703
2024-04,99.0503,89.0895
2024-05,90.2583,80.3005
2024-06,93.373,89.1407
2024-07,85.9436,96.817
2024-08,86.9998,94.9948
2024-09,94.5628,101.4737
2024-10,94.5221,104.2286
2024-11,102.7947,104.0979
2024-12,119.1396,114.1559
2025-01,118.6995,108.1307
2025-02,135.3466,112.719
2025-03,148.8417,109.0154
2025-04,136.336,97.097
2025-05,132.4704,95.2965
2025-06,147.0547,105.2137
2025-07,139.2222,114.7559
2025-08,127.2173,115.142
2025-09,134.7953,122.2543
2025-10,131.0185,129.8729
2025-11,125.221,133.4127
2025-12,117.7996,131.7276
2026-01,130.1515,131.8756
2026-02,82.9317,120.852
