Date,rate_SW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.0645,-0.6039
2016-03,12.2182,5.2168
2016-04,14.7641,3.9893
2016-05,15.2373,4.6886
2016-06,-7.2306,4.1237
2016-07,-5.0377,7.1795
2016-08,-4.4701,6.3603
2016-09,9.9672,5.6281
2016-10,-9.0126,3.196
2016-11,-9.1163,6.7601
2016-12,-3.8863,8.3626
2017-01,10.4925,10.2536
2017-02,12.1065,13.6522
2017-03,10.0859,12.7005
2017-04,12.9165,12.9818
2017-05,17.1754,13.693
2017-06,24.3167,13.5288
2017-07,23.39,15.0481
2017-08,20.6295,14.5515
2017-09,33.1171,16.1037
2017-10,19.8982,17.9557
2017-11,25.3705,20.6805
2017-12,30.5875,21.3029
2018-01,38.6233,28.0338
2018-02,35.1239,22.1441
2018-03,57.7452,18.3021
2018-04,61.455,18.0902
2018-05,53.7289,20.2208
2018-06,49.87,20.3415
2018-07,51.1638,23.8746
2018-08,53.9904,27.0072
2018-09,47.6368,27.7347
2018-10,14.0884,18.1437
2018-11,-1.602,19.7418
2018-12,-6.3244,8.5778
2019-01,1.6801,17.1263
2019-02,5.0983,20.3748
2019-03,-0.976,22.0514
2019-04,11.344,26.2651
2019-05,-0.1817,17.5943
2019-06,10.2265,25.308
2019-07,19.2574,26.4355
2019-08,6.8978,23.7232
2019-09,9.1949,26.1617
2019-10,20.9132,28.2707
2019-11,30.0617,32.1761
2019-12,37.7611,35.3247
2020-01,33.6104,35.2749
2020-02,16.5818,23.5454
2020-03,-2.8822,7.7105
2020-04,7.8247,21.425
2020-05,20.9645,26.7132
2020-06,25.3235,28.4357
2020-07,21.3993,35.3124
2020-08,36.0026,43.9511
2020-09,45.5198,37.6938
2020-10,42.2335,33.4637
2020-11,62.8897,47.2943
2020-12,72.7211,51.8455
2021-01,79.915,50.305
2021-02,75.3775,53.4604
2021-03,65.7458,59.4101
2021-04,80.0075,66.6882
2021-05,102.273,66.6274
2021-06,93.1334,69.2184
2021-07,93.0603,72.1455
2021-08,101.4407,75.992
2021-09,81.0781,66.6118
2021-10,81.8329,77.1553
2021-11,83.6519,74.6519
2021-12,86.2722,81.397
2022-01,86.3182,70.7122
2022-02,77.2703,64.6001
2022-03,48.8295,69.8532
2022-04,45.0674,54.0273
2022-05,37.6904,53.6333
2022-06,14.1959,40.2902
2022-07,26.9581,52.5094
2022-08,10.5396,45.531
2022-09,2.8722,31.5965
2022-10,10.4583,41.7445
2022-11,26.4602,48.9584
2022-12,28.4495,39.838
2023-01,41.0752,48.5632
2023-02,31.1868,44.2258
2023-03,22.7913,48.9578
2023-04,24.8629,50.6836
2023-05,29.9038,50.7741
2023-06,14.0522,59.884
2023-07,41.8831,64.3798
2023-08,42.0015,60.953
2023-09,15.564,52.6248
2023-10,11.5537,48.7132
2023-11,21.5027,61.6976
2023-12,42.2934,68.3392
2024-01,40.4457,71.0275
2024-02,42.4878,79.0476
2024-03,55.344,83.99
2024-04,52.0139,75.7344
2024-05,76.9935,83.6813
2024-06,62.2942,89.2836
2024-07,57.2094,90.5002
2024-08,66.708,94.0822
2024-09,73.6933,98.2932
2024-10,80.2208,95.412
2024-11,92.7031,105.8418
2024-12,87.7011,99.9875
2025-01,85.0179,105.351
2025-02,82.1039,101.7087
2025-03,56.953,89.4719
2025-04,45.8223,87.0451
2025-05,51.4283,97.8575
2025-06,50.3304,107.0685
2025-07,54.054,110.7404
2025-08,65.334,114.0337
2025-09,48.7652,121.6081
2025-10,28.6089,125.7153
2025-11,24.0706,125.0226
2025-12,34.1831,124.0393
2026-01,44.4527,127.2713
2026-02,5.9629,125.3185
