Date,rate_BK_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.047,-1.8027
2016-03,-0.7948,4.5695
2016-04,9.3667,3.6217
2016-05,12.6966,4.6859
2016-06,2.1041,4.2011
2016-07,5.0319,7.3141
2016-08,10.4583,6.5393
2016-09,4.6754,5.8417
2016-10,14.5426,3.4057
2016-11,24.016,7.0013
2016-12,21.705,8.6582
2017-01,14.7711,9.9058
2017-02,19.7718,13.4199
2017-03,18.4884,12.5861
2017-04,18.3252,12.9516
2017-05,17.3766,13.7442
2017-06,25.9961,14.6714
2017-07,31.2804,16.2352
2017-08,27.7994,15.7466
2017-09,28.2575,17.3266
2017-10,23.793,19.2474
2017-11,30.5774,22.0133
2017-12,27.2497,22.6523
2018-01,33.3666,28.4864
2018-02,32.7909,22.6807
2018-03,19.0073,18.8927
2018-04,25.7112,18.6249
2018-05,25.3958,20.8091
2018-06,22.6518,20.9812
2018-07,21.5144,24.5763
2018-08,17.8762,27.7899
2018-09,14.7297,27.6747
2018-10,6.6775,18.1983
2018-11,15.4104,19.8597
2018-12,5.4893,8.8011
2019-01,18.9528,17.1215
2019-02,18.7886,20.4441
2019-03,13.6813,22.1999
2019-04,13.4473,26.5012
2019-05,-2.7235,17.9266
2019-06,0.6646,25.7011
2019-07,9.0558,26.9004
2019-08,-2.33,24.2426
2019-09,5.0297,26.142
2019-10,10.7236,28.3311
2019-11,15.6949,32.3256
2019-12,18.5667,35.5485
2020-01,7.3542,34.7719
2020-02,-4.4582,23.2511
2020-03,-19.2624,7.5779
2020-04,-8.8034,21.2186
2020-05,-9.4254,26.5774
2020-06,-5.6696,28.3766
2020-07,-10.0808,35.3325
2020-08,-7.0679,44.0777
2020-09,-13.5873,37.914
2020-10,-12.5134,33.7633
2020-11,-0.1682,47.7098
2020-12,8.2809,52.3667
2021-01,3.8679,49.9654
2021-02,9.803,53.2453
2021-03,22.9135,60.4049
2021-04,30.0578,67.83
2021-05,35.3044,67.8968
2021-06,32.566,70.6358
2021-07,33.2074,73.7106
2021-08,42.7635,77.7187
2021-09,33.4713,68.3779
2021-10,54.4405,79.119
2021-11,42.1819,76.6949
2021-12,50.1069,83.6042
2022-01,55.0741,72.9303
2022-02,38.3485,66.8181
2022-03,28.7818,72.1992
2022-04,9.7239,56.2223
2022-05,21.4385,55.8933
2022-06,8.4632,42.4002
2022-07,15.756,54.8512
2022-08,10.4456,47.8158
2022-09,2.3358,33.7039
2022-10,12.8109,44.0824
2022-11,22.7773,51.4429
2022-12,21.4964,42.1877
2023-01,37.6363,50.5828
2023-02,38.0175,46.2373
2023-03,22.8941,52.2586
2023-04,15.9463,54.0684
2023-05,9.2978,54.1996
2023-06,20.8833,63.548
2023-07,24.0654,68.1942
2023-08,22.4761,64.7317
2023-09,16.1797,56.2636
2023-10,16.7411,52.2886
2023-11,32.4705,65.5989
2023-12,42.3151,72.448
2024-01,54.5986,74.4576
2024-02,55.7834,82.7177
2024-03,59.4623,89.0282
2024-04,56.9228,80.6052
2024-05,64.9871,88.8335
2024-06,65.1213,96.0415
2024-07,79.9927,97.3583
2024-08,87.9087,101.128
2024-09,97.045,105.7758
2024-10,106.967,102.865
2024-11,123.7513,113.7798
2024-12,108.9088,107.7813
2025-01,133.7925,112.3595
2025-02,140.7427,108.6721
2025-03,125.8044,96.0839
2025-04,116.6759,93.6359
2025-05,137.6024,104.9003
2025-06,143.0619,114.5225
2025-07,173.4731,118.4064
2025-08,183.1782,121.8959
2025-09,190.5696,128.6764
2025-10,187.6454,133.0211
2025-11,197.1159,132.409
2025-12,205.9855,131.4906
2026-01,218.4826,133.7386
2026-02,214.5234,130.7823
2026-03,207.5813,126.4154
