Date,rate_MAA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.5982,-0.6039
2016-03,8.1437,5.2168
2016-04,0.0801,3.9893
2016-05,7.1542,4.6886
2016-06,9.3861,4.1237
2016-07,8.2966,7.1795
2016-08,-4.799,6.3603
2016-09,-4.4473,5.6281
2016-10,-4.266,3.196
2016-11,-5.0314,6.7601
2016-12,2.1495,8.3626
2017-01,-0.038,10.2536
2017-02,8.1633,13.6522
2017-03,6.5226,12.7005
2017-04,4.3254,12.9818
2017-05,6.8428,13.693
2017-06,9.9766,13.5288
2017-07,8.3572,15.0481
2017-08,10.9049,14.5515
2017-09,10.7798,16.1037
2017-10,6.4652,17.9557
2017-11,6.1951,20.6805
2017-12,3.9527,21.3029
2018-01,-0.4441,28.0338
2018-02,-10.2289,22.1441
2018-03,-4.1625,18.3021
2018-04,-2.7807,18.0902
2018-05,-0.5245,20.2208
2018-06,6.9837,20.3415
2018-07,7.8624,23.8746
2018-08,10.529,27.0072
2018-09,6.9237,27.7347
2018-10,5.0575,18.1437
2018-11,11.1305,19.7418
2018-12,2.3748,8.5778
2019-01,9.3707,17.1263
2019-02,11.5716,20.3748
2019-03,17.4007,22.0514
2019-04,18.0256,26.2651
2019-05,22.6429,17.5943
2019-06,25.8466,25.308
2019-07,26.2599,26.4355
2019-08,34.8996,23.7232
2019-09,38.4377,26.1617
2019-10,47.9857,28.2707
2019-11,43.7851,32.1761
2019-12,38.3424,35.3247
2020-01,45.0026,35.2749
2020-02,35.6361,23.5454
2020-03,7.3855,7.7105
2020-04,17.606,21.425
2020-05,21.9274,26.7132
2020-06,19.6802,28.4357
2020-07,24.9467,35.3124
2020-08,22.3315,43.9511
2020-09,20.6776,37.6938
2020-10,21.9358,33.4637
2020-11,31.3433,47.2943
2020-12,31.3255,51.8455
2021-01,38.6598,50.305
2021-02,39.9491,53.4604
2021-03,49.1567,59.4101
2021-04,62.6206,66.6882
2021-05,64.9977,66.6274
2021-06,71.7293,69.2184
2021-07,96.5201,72.1455
2021-08,94.1622,75.992
2021-09,86.9848,66.6118
2021-10,103.9392,77.1553
2021-11,104.3589,74.6519
2021-12,125.581,81.397
2022-01,102.5776,70.7122
2022-02,99.0402,64.6001
2022-03,102.2526,69.8532
2022-04,89.5439,54.0273
2022-05,73.3331,53.6333
2022-06,66.2846,40.2902
2022-07,76.9934,52.5094
2022-08,56.9904,45.531
2022-09,46.2189,31.5965
2022-10,48.9697,41.7445
2022-11,55.3026,48.9584
2022-12,47.1952,39.838
2023-01,57.6169,48.5632
2023-02,50.6177,44.2258
2023-03,41.5236,48.9578
2023-04,44.8873,50.6836
2023-05,37.9837,50.7741
2023-06,42.0,59.884
2023-07,40.7266,64.3798
2023-08,36.1064,60.953
2023-09,20.196,52.6248
2023-10,11.4912,48.7132
2023-11,17.3177,61.6976
2023-12,26.4731,68.3392
2024-01,20.2612,71.0275
2024-02,19.3281,79.0476
2024-03,24.6757,83.99
2024-04,24.3202,75.7344
2024-05,27.5689,83.6813
2024-06,35.7362,89.2836
2024-07,34.0614,90.5002
2024-08,55.1635,94.0822
2024-09,51.8505,98.2932
2024-10,45.5144,95.412
2024-11,57.3454,105.8418
2024-12,47.617,99.9875
2025-01,47.1638,105.351
2025-02,61.6043,101.7087
2025-03,60.4496,89.4719
2025-04,53.7302,87.0451
2025-05,50.2795,97.8575
2025-06,41.5384,107.0685
2025-07,37.2545,110.7404
2025-08,40.187,114.0337
2025-09,34.3347,121.6081
2025-10,24.4472,125.7153
2025-11,31.6353,125.0226
2025-12,34.2579,124.0393
2026-01,31.2835,127.2713
2026-02,38.2129,125.3185
