Date,rate_KR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.7241,-0.6039
2016-03,-5.3383,5.2168
2016-04,-11.3238,3.9893
2016-05,-7.9646,4.6886
2016-06,-4.3553,4.1237
2016-07,-10.5074,7.1795
2016-08,-14.7023,6.3603
2016-09,-19.3776,5.6281
2016-10,-13.7396,3.196
2016-11,-8.4219,6.7601
2016-12,-1.7569,8.3626
2017-01,-3.3198,10.2536
2017-02,-8.8049,13.6522
2017-03,-14.9215,12.7005
2017-04,-13.4735,12.9818
2017-05,-11.7879,13.693
2017-06,-30.4467,13.5288
2017-07,-25.1783,15.0481
2017-08,-31.7234,14.5515
2017-09,-36.0609,16.1037
2017-10,-32.25,17.9557
2017-11,-13.2165,20.6805
2017-12,-7.2589,21.3029
2018-01,2.5719,28.0338
2018-02,-8.0356,22.1441
2018-03,-18.5898,18.3021
2018-04,-13.4964,18.0902
2018-05,-15.4899,20.2208
2018-06,-0.5802,20.3415
2018-07,1.3717,23.8746
2018-08,10.5678,27.0072
2018-09,2.2188,27.7347
2018-10,4.4564,18.1437
2018-11,4.4875,19.7418
2018-12,-3.2699,8.5778
2019-01,-0.3523,17.1263
2019-02,3.6808,20.3748
2019-03,-13.0044,22.0514
2019-04,-8.4545,26.2651
2019-05,-18.2917,17.5943
2019-06,-21.8058,25.308
2019-07,-23.2406,26.4355
2019-08,-12.9313,23.7232
2019-09,-5.2663,26.1617
2019-10,-9.3236,28.2707
2019-11,1.3943,32.1761
2019-12,7.4182,35.3247
2020-01,-0.4727,35.2749
2020-02,4.8141,23.5454
2020-03,11.9425,7.7105
2020-04,17.1674,21.425
2020-05,21.0901,26.7132
2020-06,25.1965,28.4357
2020-07,28.1497,35.3124
2020-08,31.4811,43.9511
2020-09,24.3813,37.6938
2020-10,17.6886,33.4637
2020-11,20.8883,47.2943
2020-12,15.9625,51.8455
2021-01,25.9635,50.305
2021-02,17.8493,53.4604
2021-03,31.2523,59.4101
2021-04,32.6938,66.6882
2021-05,34.3228,66.6274
2021-06,38.5189,69.2184
2021-07,46.4764,72.1455
2021-08,65.5202,75.992
2021-09,44.4601,66.6118
2021-10,42.3401,77.1553
2021-11,47.741,74.6519
2021-12,60.2727,81.397
2022-01,53.4764,70.7122
2022-02,64.6272,64.6001
2022-03,100.5435,69.8532
2022-04,87.2453,54.0273
2022-05,83.3106,53.6333
2022-06,62.7964,40.2902
2022-07,58.8517,52.5094
2022-08,64.0182,45.531
2022-09,48.8608,31.5965
2022-10,60.1914,41.7445
2022-11,66.6748,48.9584
2022-12,50.2964,39.838
2023-01,50.4649,48.5632
2023-02,45.6692,44.2258
2023-03,66.014,48.9578
2023-04,62.693,50.6836
2023-05,51.7786,50.7741
2023-06,56.7358,59.884
2023-07,61.4787,64.3798
2023-08,54.2685,60.953
2023-09,48.2072,52.6248
2023-10,49.7047,48.7132
2023-11,46.4653,61.6976
2023-12,50.657,68.3392
2024-01,52.074,71.0275
2024-02,63.8104,79.0476
2024-03,87.8341,83.99
2024-04,81.1431,75.7344
2024-05,71.4158,83.6813
2024-06,62.708,89.2836
2024-07,76.8503,90.5002
2024-08,72.8923,94.0822
2024-09,86.1009,98.2932
2024-10,80.2698,95.412
2024-11,97.5321,105.8418
2024-12,96.7833,99.9875
2025-01,98.3598,105.351
2025-02,108.5374,101.7087
2025-03,116.6906,89.4719
2025-04,129.9122,87.0451
2025-05,117.0476,97.8575
2025-06,126.9764,107.0685
2025-07,120.626,110.7404
2025-08,113.4764,114.0337
2025-09,112.1303,121.6081
2025-10,99.2539,125.7153
2025-11,110.7917,125.0226
2025-12,94.7884,124.0393
2026-01,95.9416,127.2713
2026-02,124.5026,125.3185
