Date,rate_UEC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-17.364,-1.8027
2016-03,-24.1623,4.5695
2016-04,-12.2812,3.6217
2016-05,-13.161,4.6859
2016-06,0.1952,4.2011
2016-07,8.2699,7.3141
2016-08,11.8055,6.5393
2016-09,8.2011,5.8417
2016-10,-2.3714,3.4057
2016-11,-4.126,7.0013
2016-12,22.3123,8.6582
2017-01,73.3124,9.9058
2017-02,55.8118,13.4199
2017-03,44.9937,12.5861
2017-04,24.1714,12.9516
2017-05,37.5855,13.7442
2017-06,55.3665,14.6714
2017-07,53.4106,16.2352
2017-08,24.4053,15.7466
2017-09,28.7661,17.3266
2017-10,-2.0731,19.2474
2017-11,22.8079,22.0133
2017-12,62.1377,22.6523
2018-01,41.6242,28.4864
2018-02,16.1542,22.6807
2018-03,16.473,18.8927
2018-04,33.5611,18.6249
2018-05,31.3149,20.8091
2018-06,39.6145,20.9812
2018-07,41.7711,24.5763
2018-08,45.5121,27.7899
2018-09,44.9752,27.6747
2018-10,11.3691,18.1983
2018-11,10.2101,19.8597
2018-12,4.1025,8.8011
2019-01,8.1472,17.1215
2019-02,4.6149,20.4441
2019-03,16.0961,22.1999
2019-04,16.3675,26.5012
2019-05,10.9892,17.9266
2019-06,12.3664,25.7011
2019-07,-18.9686,26.9004
2019-08,-22.5793,24.2426
2019-09,-19.5939,26.142
2019-10,-20.8325,28.3311
2019-11,-26.3081,32.3256
2019-12,-22.39,35.5485
2020-01,-29.5601,34.7719
2020-02,-48.6243,23.2511
2020-03,-51.1527,7.5779
2020-04,-2.2808,21.2186
2020-05,-6.7401,26.5774
2020-06,-21.6729,28.3766
2020-07,-13.2825,35.3325
2020-08,3.0718,44.0777
2020-09,-10.4061,37.914
2020-10,-22.7808,33.7633
2020-11,-4.3703,47.7098
2020-12,58.8619,52.3667
2021-01,46.2415,49.9654
2021-02,88.9741,53.2453
2021-03,152.9966,60.4049
2021-04,153.9372,67.83
2021-05,171.5128,67.8968
2021-06,128.4794,70.6358
2021-07,84.855,73.7106
2021-08,112.3591,77.7187
2021-09,156.0108,68.3779
2021-10,209.5317,79.119
2021-11,222.9931,76.6949
2021-12,173.5189,83.6042
2022-01,111.2708,72.9303
2022-02,220.5132,66.8181
2022-03,265.2829,72.1992
2022-04,234.9773,56.2223
2022-05,198.3527,55.8933
2022-06,138.6044,42.4002
2022-07,222.8205,54.8512
2022-08,244.4606,47.8158
2022-09,164.4826,33.7039
2022-10,215.7016,44.0824
2022-11,188.5925,51.4429
2022-12,186.4122,42.1877
2023-01,195.203,50.5828
2023-02,168.9286,46.2373
2023-03,107.8342,52.2586
2023-04,87.2489,54.0684
2023-05,84.9052,54.1996
2023-06,141.3115,63.548
2023-07,153.856,68.1942
2023-08,202.6001,64.7317
2023-09,258.0986,56.2636
2023-10,310.5376,52.2886
2023-11,346.3043,65.5989
2023-12,334.5479,72.448
2024-01,414.6047,74.4576
2024-02,332.8388,82.7177
2024-03,347.2978,89.0282
2024-04,343.7797,80.6052
2024-05,365.8002,88.8335
2024-06,289.0785,96.0415
2024-07,281.173,97.3583
2024-08,233.9011,101.128
2024-09,293.8036,105.7758
2024-10,367.1446,102.865
2024-11,419.3401,113.7798
2024-12,314.9918,107.7813
2025-01,334.8881,112.3595
2025-02,242.5607,108.6721
2025-03,190.5498,96.0839
2025-04,217.2648,93.6359
2025-05,256.1695,104.9003
2025-06,305.8316,114.5225
2025-07,414.0591,118.4064
2025-08,529.4031,121.8959
2025-09,679.7561,128.6764
2025-10,777.8641,133.0211
2025-11,606.6419,132.409
2025-12,567.8904,131.4906
2026-01,878.8488,133.7386
2026-02,764.0088,130.7823
2026-03,655.4111,117.6098
2026-04,727.3543,139.3863
2026-05,659.7465,150.8374
2026-06,484.1347,146.5232
2026-07,422.6352,145.3136
2026-08,468.0114,152.1156
