Date,rate_NEM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,11.3312,-3.7423
2016-03,30.4906,0.3764
2016-04,26.2397,5.1946
2016-05,57.1873,3.5695
2016-06,36.1034,4.8356
2016-07,60.755,4.3651
2016-08,66.4608,7.2005
2016-09,41.2022,6.5176
2016-10,36.2146,5.8316
2016-11,28.0613,2.6321
2016-12,6.7173,6.5262
2017-01,12.2346,8.6002
2017-02,17.1652,9.8701
2017-03,11.2455,14.9815
2017-04,5.963,12.5254
2017-05,4.687,13.1716
2017-06,8.6864,14.581
2017-07,3.1732,14.626
2017-08,17.5971,16.4591
2017-09,22.0145,15.9061
2017-10,17.5979,17.2911
2017-11,11.1264,19.4181
2017-12,15.2882,21.7575
2018-01,15.8956,22.6249
2018-02,23.9796,28.3844
2018-03,16.1934,21.0506
2018-04,18.9263,18.8566
2018-05,18.7004,18.843
2018-06,16.3063,22.0592
2018-07,13.3927,20.962
2018-08,9.1529,24.4135
2018-09,-7.2985,27.7869
2018-10,-8.6974,28.1445
2018-11,-3.2865,19.3954
2018-12,-2.35,19.8359
2019-01,5.115,8.7501
2019-02,2.5197,17.203
2019-03,2.3902,21.2677
2019-04,8.1658,23.6016
2019-05,-5.4111,25.5902
2019-06,3.369,17.8911
2019-07,18.7685,26.7327
2019-08,15.957,25.8061
2019-09,24.1176,24.2046
2019-10,16.7948,24.595
2019-11,22.7816,29.5299
2019-12,18.5589,32.3145
2020-01,34.1417,35.5516
2020-02,38.387,34.7733
2020-03,36.304,23.2161
2020-04,41.6057,2.6957
2020-05,84.7985,17.923
2020-06,81.6948,27.1545
2020-07,83.5162,29.2791
2020-08,105.2488,35.3897
2020-09,96.9609,45.4969
2020-10,83.7792,38.8421
2020-11,82.3613,33.8054
2020-12,73.3899,49.4413
2021-01,72.3938,52.4925
2021-02,71.1757,52.5474
2021-03,55.1758,57.1165
2021-04,76.0667,62.2404
2021-05,76.5726,68.0147
2021-06,107.8243,67.9506
2021-07,76.8013,71.7835
2021-08,75.5402,73.9065
2021-09,60.7113,78.108
2021-10,49.4195,70.559
2021-11,50.7652,79.7147
2021-12,48.8605,74.8714
2022-01,72.1117,83.8439
2022-02,69.2172,74.2485
2022-03,89.3533,64.4857
2022-04,127.205,72.8765
2022-05,98.4749,56.3809
2022-06,83.5792,54.7432
2022-07,65.9555,43.9638
2022-08,21.3089,54.5402
2022-09,10.1869,48.4061
2022-10,14.5527,33.808
2022-11,13.5017,43.6413
2022-12,31.9784,51.6237
2023-01,29.3748,42.3283
2023-02,48.1345,52.4008
2023-03,20.0959,45.8599
2023-04,34.3235,52.4428
2023-05,28.221,54.1535
2023-06,16.8377,55.8684
2023-07,17.1703,63.7729
2023-08,14.3755,67.9151
2023-09,7.6734,65.3142
2023-10,2.1994,56.4671
2023-11,3.0587,54.158
2023-12,14.9949,66.8181
2024-01,15.3661,72.7134
2024-02,-0.8816,77.0248
2024-03,-11.0897,84.7703
2024-04,2.2324,89.0895
2024-05,13.8516,80.3005
2024-06,17.5245,89.1407
2024-07,17.2398,96.817
2024-08,39.2762,94.9948
2024-09,49.6618,101.4737
2024-10,51.9822,104.2286
2024-11,26.6429,104.0979
2024-12,18.5178,114.1559
2025-01,5.0254,108.1307
2025-02,20.4911,112.719
2025-03,20.6418,109.0154
2025-04,36.4818,97.097
2025-05,45.177,95.2965
2025-06,48.9377,105.2137
2025-07,65.7181,114.7559
2025-08,75.7007,115.142
2025-09,108.0766,122.2543
2025-10,140.0068,129.8729
2025-11,124.9814,133.4127
2025-12,155.3475,131.7276
2026-01,176.2383,131.8756
2026-02,187.7361,120.852
