Date,rate_WY_5D,rate_VOO_20D
2016-01,-0.0874,1.4254
2016-02,-1.4769,0.6142
2016-03,20.3669,6.1243
2016-04,18.4932,4.6014
2016-05,13.8129,5.2878
2016-06,6.5752,4.687
2016-07,15.9052,7.7174
2016-08,11.2116,6.8637
2016-09,11.333,5.9421
2016-10,4.3255,3.4868
2016-11,7.1509,6.843
2016-12,3.4747,8.2789
2017-01,7.3036,9.3935
2017-02,14.9647,12.821
2017-03,15.8542,12.0413
2017-04,14.4857,12.4367
2017-05,10.7219,13.2406
2017-06,12.8804,14.1802
2017-07,10.6444,15.6892
2017-08,8.9454,15.2834
2017-09,14.3808,16.8657
2017-10,19.9911,18.7799
2017-11,18.4353,21.509
2017-12,17.225,22.1709
2018-01,24.0672,27.9258
2018-02,13.7713,22.2578
2018-03,11.9074,18.4465
2018-04,17.0054,18.162
2018-05,18.1281,20.337
2018-06,15.7129,20.5057
2018-07,8.0004,24.0401
2018-08,9.4361,27.2093
2018-09,2.7298,27.1082
2018-10,-14.5459,17.9327
2018-11,-13.8265,19.5577
2018-12,-28.3535,8.5722
2019-01,-13.0814,16.8959
2019-02,-16.1466,20.2219
2019-03,-10.9698,21.9603
2019-04,-9.1558,26.2654
2019-05,-22.5143,20.4953
2019-06,-8.5839,25.3574
2019-07,-11.6629,26.514
2019-08,-10.2855,24.0717
2019-09,-4.1084,25.9454
2019-10,1.2504,27.4086
2019-11,2.2054,31.384
2019-12,5.7103,34.5804
2020-01,1.2212,33.8021
2020-02,-3.4741,22.3336
2020-03,-12.8175,15.1867
2020-04,13.0638,29.6272
2020-05,-8.674,28.2305
2020-06,-0.9686,28.0341
2020-07,21.2911,33.4885
2020-08,26.1207,42.106
2020-09,20.4161,38.2475
2020-10,18.0038,34.0563
2020-11,21.2359,42.9575
2020-12,40.7394,47.5016
2021-01,31.1465,45.1166
2021-02,32.9779,43.0879
2021-03,30.0902,49.8512
2021-04,41.1005,56.911
2021-05,35.7153,54.6413
2021-06,23.162,57.2758
2021-07,16.2171,60.2291
2021-08,23.7492,64.0213
2021-09,22.4912,55.5224
2021-10,19.4237,65.5435
2021-11,25.355,65.5034
2021-12,31.0234,68.4598
2022-01,26.1465,58.7763
2022-02,25.7229,53.2596
2022-03,23.0596,58.2953
2022-04,31.303,52.2757
2022-05,26.4653,51.0659
2022-06,6.2634,38.0304
2022-07,16.4062,50.1558
2022-08,9.3049,43.3725
2022-09,-8.2556,29.6913
2022-10,-0.555,39.7003
2022-11,2.9791,46.8631
2022-12,-3.096,40.5677
2023-01,6.998,48.7988
2023-02,3.8553,45.5387
2023-03,-0.4837,49.6635
2023-04,-1.2038,48.4614
2023-05,-6.0528,48.1923
2023-06,10.63,57.2072
2023-07,12.3259,61.7125
2023-08,6.7749,59.5229
2023-09,-0.1085,51.3631
2023-10,-6.512,47.5518
2023-11,2.8185,60.474
2023-12,13.8668,67.125
2024-01,7.2329,69.1001
2024-02,12.8722,77.1309
2024-03,18.425,83.2841
2024-04,-0.4995,75.177
2024-05,-0.3572,83.1784
2024-06,-4.4747,90.182
2024-07,6.942,90.9416
2024-08,3.3938,97.1965
2024-09,16.1465,98.31
2024-10,11.501,95.5089
2024-11,14.9423,105.9957
2024-12,0.7951,100.2436
2025-01,9.6303,104.6582
2025-02,7.6816,101.1287
2025-03,5.5224,89.045
2025-04,-4.2693,88.6819
2025-05,-2.678,99.6712
2025-06,-1.9368,109.046
2025-07,-9.0232,112.823
2025-08,-5.3691,112.1707
2025-09,-8.0055,118.6779
2025-10,-14.591,122.8639
2025-11,-15.0473,122.3204
2025-12,-9.2499,121.4705
2026-01,-1.2326,123.6468
2026-02,-6.0489,120.852
