Date,rate_IWM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-3.1646,-1.8027
2016-03,4.8301,4.5695
2016-04,5.2234,3.6217
2016-05,6.4966,4.6859
2016-06,5.2929,4.2011
2016-07,10.5233,7.3141
2016-08,11.1394,6.5393
2016-09,11.0706,5.8417
2016-10,4.9387,3.4057
2016-11,16.1684,7.0013
2016-12,18.1549,8.6582
2017-01,17.0851,9.9058
2017-02,18.0875,13.4199
2017-03,17.437,12.5861
2017-04,17.6788,12.9516
2017-05,14.3173,13.7442
2017-06,17.2275,14.6714
2017-07,17.3052,16.2352
2017-08,14.9688,15.7466
2017-09,21.3946,17.3266
2017-10,21.2957,19.2474
2017-11,23.9308,22.0133
2017-12,22.4635,22.6523
2018-01,24.6685,28.4864
2018-02,18.9699,22.6807
2018-03,19.7238,18.8927
2018-04,20.1845,18.6249
2018-05,26.8051,20.8091
2018-06,26.6602,20.9812
2018-07,28.3155,24.5763
2018-08,32.9065,27.7899
2018-09,28.8516,27.6747
2018-10,13.9948,18.1983
2018-11,15.4894,19.8597
2018-12,1.32,8.8011
2019-01,12.7156,17.1215
2019-02,18.1889,20.4441
2019-03,15.2459,22.1999
2019-04,18.7223,26.5012
2019-05,9.0139,17.9266
2019-06,16.3567,25.7011
2019-07,16.7534,26.9004
2019-08,10.6839,24.2426
2019-09,12.6989,26.142
2019-10,15.5208,28.3311
2019-11,19.8229,32.3256
2019-12,22.7262,35.5485
2020-01,18.4752,34.7719
2020-02,7.683,23.2511
2020-03,-15.5311,7.5779
2020-04,-3.3327,21.2186
2020-05,3.1778,26.5774
2020-06,6.6173,28.3766
2020-07,9.6173,35.3325
2020-08,15.4259,44.0777
2020-09,11.389,37.914
2020-10,13.6014,33.7633
2020-11,34.0108,47.7098
2020-12,44.9196,52.3667
2021-01,51.1597,49.9654
2021-02,59.6094,53.2453
2021-03,60.8106,60.4049
2021-04,62.6898,67.83
2021-05,62.1634,67.8968
2021-06,64.2155,70.6358
2021-07,57.3308,73.7106
2021-08,59.9323,77.7187
2021-09,55.4471,68.3779
2021-10,61.1713,79.119
2021-11,53.3466,76.6949
2021-12,56.095,83.6042
2022-01,40.5372,72.9303
2022-02,41.4198,66.8181
2022-03,42.5193,72.1992
2022-04,27.9045,56.2223
2022-05,27.7899,55.8933
2022-06,16.8205,42.4002
2022-07,28.8857,54.8512
2022-08,25.9564,47.8158
2022-09,13.5317,33.7039
2022-10,26.0062,44.0824
2022-11,28.4561,51.4429
2022-12,19.8114,42.1877
2023-01,31.2998,50.5828
2023-02,28.6659,46.2373
2023-03,22.1096,52.2586
2023-04,19.676,54.0684
2023-05,18.4805,54.1996
2023-06,27.7754,63.548
2023-07,35.239,68.1942
2023-08,28.0214,64.7317
2023-09,20.238,56.2636
2023-10,11.7412,52.2886
2023-11,21.8591,65.5989
2023-12,36.3254,72.448
2024-01,30.6551,74.4576
2024-02,37.6475,82.7177
2024-03,42.0272,89.0282
2024-04,31.9418,80.6052
2024-05,38.2485,88.8335
2024-06,36.3238,96.0415
2024-07,50.0098,97.3583
2024-08,47.0414,101.128
2024-09,47.6319,105.7758
2024-10,45.1201,102.865
2024-11,60.6908,113.7798
2024-12,46.7639,107.7813
2025-01,49.9856,112.3595
2025-02,41.7342,108.6721
2025-03,31.6906,96.0839
2025-04,28.3605,93.6359
2025-05,34.8084,104.9003
2025-06,41.9049,114.5225
2025-07,43.8859,118.4064
2025-08,53.8381,121.8959
2025-09,58.2411,128.6764
2025-10,60.5236,133.0211
2025-11,61.6498,132.409
2025-12,60.0162,131.4906
2026-01,68.249,133.7386
2026-02,68.8249,130.7823
2026-03,59.9257,117.6098
2026-04,78.6748,139.3863
2026-05,86.0155,150.8374
2026-06,92.1651,146.5232
2026-07,85.5584,145.3136
2026-08,92.1914,152.5386
