Date,rate_KMB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.8457,-1.8027
2016-03,4.8005,4.5695
2016-04,-3.6871,3.6217
2016-05,-1.546,4.6859
2016-06,7.2934,4.2011
2016-07,0.1859,7.3141
2016-08,-1.0841,6.5393
2016-09,-1.7372,5.8417
2016-10,-10.5968,3.4057
2016-11,-8.663,7.0013
2016-12,-8.2735,8.6582
2017-01,-1.9771,9.9058
2017-02,7.3879,13.4199
2017-03,6.9029,12.5861
2017-04,4.9538,12.9516
2017-05,4.6544,13.7442
2017-06,4.6655,14.6714
2017-07,-0.3728,16.2352
2017-08,-0.1911,15.7466
2017-09,-3.9136,17.3266
2017-10,-7.9435,19.2474
2017-11,-1.6546,22.0133
2017-12,-0.0838,22.6523
2018-01,-3.0976,28.4864
2018-02,-8.038,22.6807
2018-03,-7.5858,18.8927
2018-04,-12.8469,18.6249
2018-05,-14.6657,20.8091
2018-06,-9.5114,20.9812
2018-07,-1.8947,24.5763
2018-08,-0.3494,27.7899
2018-09,-1.1138,27.6747
2018-10,-9.1847,18.1983
2018-11,0.6745,19.8597
2018-12,0.2818,8.8011
2019-01,-1.9757,17.1215
2019-02,2.8577,20.4441
2019-03,9.911,22.1999
2019-04,13.6467,26.5012
2019-05,12.9389,17.9266
2019-06,18.2709,25.7011
2019-07,19.8841,26.9004
2019-08,24.2415,24.2426
2019-09,25.4274,26.142
2019-10,16.8283,28.3311
2019-11,19.5083,32.3256
2019-12,21.0525,35.5485
2020-01,25.6032,34.7719
2020-02,14.5833,23.2511
2020-03,12.3429,7.5779
2020-04,21.439,21.2186
2020-05,23.6371,26.5774
2020-06,24.0542,28.3766
2020-07,32.9355,35.3325
2020-08,37.3215,44.0777
2020-09,28.8933,37.914
2020-10,15.3253,33.7633
2020-11,20.8855,47.7098
2020-12,17.5703,52.3667
2021-01,14.9091,49.9654
2021-02,11.3903,53.2453
2021-03,21.4684,60.4049
2021-04,16.1837,67.83
2021-05,13.6005,67.8968
2021-06,17.1197,70.6358
2021-07,18.5588,73.7106
2021-08,20.1051,77.7187
2021-09,16.1225,68.3779
2021-10,13.3167,79.119
2021-11,13.8362,76.6949
2021-12,25.6016,83.6042
2022-01,20.6367,72.9303
2022-02,13.8141,66.8181
2022-03,8.5618,72.1992
2022-04,22.1867,56.2223
2022-05,16.8052,55.8933
2022-06,19.487,42.4002
2022-07,16.2525,54.8512
2022-08,12.2657,47.8158
2022-09,-0.0267,33.7039
2022-10,10.5407,44.0824
2022-11,20.3061,51.4429
2022-12,21.1869,42.1877
2023-01,15.8312,50.5828
2023-02,11.2406,46.2373
2023-03,20.2984,52.2586
2023-04,29.5969,54.0684
2023-05,19.803,54.1996
2023-06,23.9945,63.548
2023-07,15.7149,68.1942
2023-08,15.3036,64.7317
2023-09,9.0819,56.2636
2023-10,7.8937,52.2886
2023-11,11.493,65.5989
2023-12,10.4356,72.448
2024-01,9.8369,74.4576
2024-02,9.8976,82.7177
2024-03,18.291,89.0282
2024-04,24.6639,80.6052
2024-05,21.4811,88.8335
2024-06,29.0498,96.0415
2024-07,25.8433,97.3583
2024-08,34.4979,101.128
2024-09,35.3553,105.7758
2024-10,27.3347,102.865
2024-11,31.9661,113.7798
2024-12,27.2827,107.7813
2025-01,25.9932,112.3595
2025-02,37.3918,108.6721
2025-03,40.901,96.0839
2025-04,30.2067,93.6359
2025-05,41.7525,104.9003
2025-06,30.5202,114.5225
2025-07,25.8201,118.4064
2025-08,30.1084,121.8959
2025-09,28.8266,128.6764
2025-10,23.8368,133.0211
2025-11,12.7082,132.409
2025-12,8.0193,131.4906
2026-01,6.9874,133.7386
2026-02,19.159,130.7823
2026-03,6.8431,126.4154
