Date,rate_EH_5D,rate_VOO_20D
2019-12,0.0,0.0
2020-01,-7.3428,1.8525
2020-02,-3.2361,-9.6683
2020-03,-5.1551,-25.3415
2020-04,6.0473,-11.7008
2020-05,9.3444,-6.342
2020-06,-6.2863,-4.5427
2020-07,-25.2163,2.4132
2020-08,-14.2209,11.1584
2020-09,-24.273,4.9947
2020-10,-22.4586,0.844
2020-11,45.9961,14.7904
2020-12,106.4218,19.4473
2021-01,524.4935,17.046
2021-02,310.8503,20.326
2021-03,212.6271,27.4856
2021-04,126.2502,34.9107
2021-05,112.2497,34.9774
2021-06,227.9206,37.7164
2021-07,93.8707,40.7913
2021-08,95.8762,44.7994
2021-09,68.4308,35.4585
2021-10,67.1007,46.1996
2021-11,43.8515,43.7755
2021-12,0.5309,50.6849
2022-01,6.4301,40.0109
2022-02,-0.2677,33.8987
2022-03,-19.3153,39.2799
2022-04,-43.0479,23.303
2022-05,-38.0787,22.9739
2022-06,-34.5628,9.4808
2022-07,-50.133,21.9318
2022-08,-51.3883,14.8964
2022-09,-67.6514,0.7845
2022-10,-69.4524,11.163
2022-11,-59.5432,18.5235
2022-12,-23.2055,9.2684
2023-01,27.4891,17.6635
2023-02,2.957,13.3179
2023-03,-2.0912,19.3393
2023-04,-0.429,21.1491
2023-05,-10.2626,21.2803
2023-06,36.077,30.6287
2023-07,101.9862,35.2748
2023-08,73.9235,31.8124
2023-09,57.4177,23.3442
2023-10,20.25,19.3693
2023-11,52.109,32.6796
2023-12,44.0318,39.5286
2024-01,-13.3817,41.5382
2024-02,-7.7287,49.7983
2024-03,75.9448,56.1088
2024-04,51.2096,47.6858
2024-05,43.1055,55.9141
2024-06,13.9135,63.1221
2024-07,6.7438,64.439
2024-08,21.7424,68.2087
2024-09,17.87,72.8564
2024-10,41.5451,69.9457
2024-11,28.3731,80.8605
2024-12,29.7607,74.8619
2025-01,39.4937,79.4402
2025-02,87.6218,75.7527
2025-03,69.4728,63.1645
2025-04,35.1179,60.7165
2025-05,30.2926,71.981
2025-06,38.9588,81.6032
2025-07,39.5464,85.487
2025-08,25.7687,88.9765
2025-09,47.0857,95.757
2025-10,45.1412,100.1018
2025-11,11.9656,99.4896
2025-12,3.3702,98.5712
2026-01,0.1139,100.8192
2026-02,-3.8029,97.863
2026-03,-3.7529,93.496
