Date,rate_NOW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-26.3731,-3.7423
2016-03,-18.9918,0.3764
2016-04,-6.3862,5.1946
2016-05,9.6865,3.5695
2016-06,10.2762,4.8356
2016-07,-1.7782,4.3651
2016-08,11.6374,7.2005
2016-09,8.5999,6.5176
2016-10,15.1239,5.8316
2016-11,24.7105,2.6321
2016-12,8.6438,6.5262
2017-01,4.0655,8.6002
2017-02,25.1808,9.8701
2017-03,22.2609,14.9815
2017-04,18.8409,12.5254
2017-05,27.6917,13.1716
2017-06,41.4339,14.581
2017-07,38.4603,14.626
2017-08,42.5444,16.4591
2017-09,46.4217,15.9061
2017-10,46.7536,17.2911
2017-11,53.213,19.4181
2017-12,48.653,21.7575
2018-01,55.8617,22.6249
2018-02,80.0381,28.3844
2018-03,84.784,21.0506
2018-04,88.3335,18.8566
2018-05,85.1415,18.843
2018-06,99.9245,22.0592
2018-07,86.7993,20.962
2018-08,89.8317,24.4135
2018-09,106.3814,27.7869
2018-10,101.3442,28.1445
2018-11,87.2708,19.3954
2018-12,86.3233,19.8359
2019-01,76.7551,8.7501
2019-02,117.3149,17.203
2019-03,135.5112,21.2677
2019-04,134.1397,23.6016
2019-05,153.9532,25.5902
2019-06,142.3587,17.8911
2019-07,158.6549,26.7327
2019-08,146.4105,25.8061
2019-09,132.2929,24.2046
2019-10,119.0938,24.595
2019-11,119.0128,29.5299
2019-12,142.1534,32.3145
2020-01,138.5813,35.5516
2020-02,182.4387,34.7733
2020-03,168.7815,23.2161
2020-04,122.3064,2.6957
2020-05,173.4686,17.923
2020-06,205.099,27.1545
2020-07,227.5645,29.2791
2020-08,240.8151,35.3897
2020-09,280.9448,45.4969
2020-10,272.4823,38.8421
2020-11,271.5537,33.8054
2020-12,297.9384,49.4413
2021-01,300.8656,52.4925
2021-02,301.7798,52.5474
2021-03,295.4256,57.1165
2021-04,256.0056,62.2404
2021-05,251.5596,68.0147
2021-06,222.1453,67.9506
2021-07,270.4162,71.7835
2021-08,295.0884,73.9065
2021-09,332.5945,78.108
2021-10,315.9094,70.559
2021-11,343.3678,79.7147
2021-12,285.5385,74.8714
2022-01,313.099,83.8439
2022-02,269.4021,74.2485
2022-03,256.1133,64.4857
2022-04,238.875,72.8765
2022-05,192.5383,56.3809
2022-06,188.2347,54.7432
2022-07,191.3726,43.9638
2022-08,170.7002,54.5402
2022-09,154.8283,48.4061
2022-10,121.8122,33.808
2022-11,144.2187,43.6413
2022-12,146.5583,51.6237
2023-01,123.3395,42.3283
2023-02,170.7714,52.4008
2023-03,143.3306,45.8599
2023-04,161.8418,52.4428
2023-05,151.9954,54.1535
2023-06,201.7152,55.8684
2023-07,209.9579,63.7729
2023-08,223.208,67.9151
2023-09,221.047,65.3142
2023-10,201.4542,56.4671
2023-11,217.7947,54.158
2023-12,267.2322,66.8181
2024-01,272.7305,72.7134
2024-02,303.6952,77.0248
2024-03,301.9618,84.7703
2024-04,296.1984,89.0895
2024-05,250.8806,80.3005
2024-06,233.8218,89.1407
2024-07,298.1592,96.817
2024-08,306.4957,94.9948
2024-09,325.2425,101.4737
2024-10,328.1577,104.2286
2024-11,362.4262,104.0979
2024-12,410.6294,114.1559
2025-01,411.9843,108.1307
2025-02,388.1942,112.719
2025-03,342.4885,109.0154
2025-04,283.5411,97.097
2025-05,349.7353,95.2965
2025-06,371.4157,105.2137
2025-07,368.5272,114.7559
2025-08,320.4768,115.142
2025-09,319.1248,122.2543
2025-10,314.1135,129.8729
2025-11,314.5396,133.4127
2025-12,268.3393,131.7276
2026-01,241.1098,131.8756
2026-02,137.8975,131.1612
