Date,rate_NTRS_5D,rate_VOO_20D
2016-01,-11.914,-3.28
2016-02,-9.3426,-1.8027
2016-03,1.5372,4.5695
2016-04,9.9107,3.6217
2016-05,12.4584,4.6859
2016-06,-0.7795,4.2011
2016-07,1.5615,7.3141
2016-08,6.4822,6.5393
2016-09,1.9201,5.8417
2016-10,8.3285,3.4057
2016-11,22.5141,7.0013
2016-12,30.3731,8.6582
2017-01,19.3234,9.9058
2017-02,24.1218,13.4199
2017-03,21.7719,12.5861
2017-04,25.1561,12.9516
2017-05,20.68,13.7442
2017-06,32.7247,14.6714
2017-07,17.984,16.2352
2017-08,18.9308,15.7466
2017-09,22.5597,17.3266
2017-10,23.6301,19.2474
2017-11,28.7325,22.0133
2017-12,30.2834,22.6523
2018-01,36.156,28.4864
2018-02,35.3246,22.6807
2018-03,31.1597,18.8927
2018-04,34.5972,18.6249
2018-05,28.1527,20.8091
2018-06,28.0942,20.9812
2018-07,34.9876,24.5763
2018-08,31.7427,27.7899
2018-09,24.9721,27.6747
2018-10,14.3923,18.1983
2018-11,20.2123,19.8597
2018-12,1.501,8.8011
2019-01,7.3563,17.1215
2019-02,12.8862,20.4441
2019-03,9.9184,22.1999
2019-04,19.4389,26.5012
2019-05,3.2894,17.9266
2019-06,9.3312,25.7011
2019-07,18.7342,26.9004
2019-08,6.2374,24.2426
2019-09,13.4339,26.142
2019-10,20.9544,28.3311
2019-11,29.5917,32.3256
2019-12,28.6153,35.5485
2020-01,17.8799,34.7719
2020-02,5.4623,23.2511
2020-03,-8.542,7.5779
2020-04,-3.7942,21.2186
2020-05,-3.8144,26.5774
2020-06,-2.5294,28.3766
2020-07,-3.6163,35.3325
2020-08,0.7974,44.0777
2020-09,-3.175,37.914
2020-10,-2.7171,33.7633
2020-11,15.7531,47.7098
2020-12,16.3793,52.3667
2021-01,11.1952,49.9654
2021-02,18.3674,53.2453
2021-03,31.2396,60.4049
2021-04,41.533,67.83
2021-05,50.0349,67.8968
2021-06,43.2814,70.6358
2021-07,39.2103,73.7106
2021-08,45.5877,77.7187
2021-09,32.7182,68.3779
2021-10,50.8675,79.119
2021-11,41.2008,76.6949
2021-12,46.2441,83.6042
2022-01,41.9968,72.9303
2022-02,38.0861,66.8181
2022-03,41.5912,72.1992
2022-04,24.8563,56.2223
2022-05,35.0299,55.8933
2022-06,17.094,42.4002
2022-07,20.8393,54.8512
2022-08,14.9297,47.8158
2022-09,4.1707,33.7039
2022-10,2.6493,44.0824
2022-11,13.2506,51.4429
2022-12,8.3914,42.1877
2023-01,18.6573,50.5828
2023-02,16.3693,46.2373
2023-03,8.4063,52.2586
2023-04,-3.926,54.0684
2023-05,-11.5287,54.1996
2023-06,-7.7649,63.548
2023-07,-0.2482,68.1942
2023-08,-5.2831,64.7317
2023-09,-12.5088,56.2636
2023-10,-16.8733,52.2886
2023-11,0.1254,65.5989
2023-12,7.5287,72.448
2024-01,1.42,74.4576
2024-02,4.5756,82.7177
2024-03,14.104,89.0282
2024-04,5.6142,80.6052
2024-05,7.9173,88.8335
2024-06,10.3838,96.0415
2024-07,16.4123,97.3583
2024-08,19.6258,101.128
2024-09,20.838,105.7758
2024-10,34.7381,102.865
2024-11,48.6288,113.7798
2024-12,39.6437,107.7813
2025-01,52.5698,112.3595
2025-02,49.2919,108.6721
2025-03,36.2699,96.0839
2025-04,29.541,93.6359
2025-05,46.8067,104.9003
2025-06,76.9511,114.5225
2025-07,80.7001,118.4064
2025-08,81.7957,121.8959
2025-09,88.9823,128.6764
2025-10,80.0396,133.0211
2025-11,83.0849,132.409
2025-12,93.0092,131.4906
2026-01,110.2981,133.7386
2026-02,100.5181,130.7823
2026-03,102.6846,129.7769
