Date,rate_GEHC_5D,rate_VOO_20D
2022-12,0.0,-2.0206
2023-01,0.0,6.7046
2023-02,7.8959,2.3672
2023-03,13.6451,7.0992
2023-04,9.2629,8.825
2023-05,5.0353,8.9155
2023-06,6.3012,18.0254
2023-07,1.2605,22.5212
2023-08,-8.6305,19.0944
2023-09,-10.689,10.7662
2023-10,-11.58,6.8546
2023-11,-8.2813,19.839
2023-12,4.1447,26.4806
2024-01,-1.1683,29.1689
2024-02,22.898,37.189
2024-03,20.6375,42.1314
2024-04,0.1612,33.8758
2024-05,2.2542,41.8227
2024-06,2.0527,47.4251
2024-07,10.7913,48.6416
2024-08,10.5217,52.2236
2024-09,22.2607,56.4346
2024-10,12.8573,53.5534
2024-11,6.9529,63.9832
2024-12,0.1844,58.1289
2025-01,13.1104,63.4924
2025-02,11.3485,59.8501
2025-03,2.4865,47.6133
2025-04,-10.7362,45.1865
2025-05,-9.9212,55.9989
2025-06,-5.0281,65.2099
2025-07,-8.4793,68.8818
2025-08,-5.0331,72.1752
2025-09,-3.271,79.7495
2025-10,-3.3891,83.8567
2025-11,3.2283,83.164
2025-12,5.7543,82.1808
2026-01,1.8275,85.4127
2026-02,19.1726,83.4599
