Date,rate_SNDK_5D,rate_VOO_20D
2025-02,0.0,-5.287
2025-03,-5.7555,-17.5237
2025-04,-35.3554,-19.9505
2025-05,-14.4438,-9.1381
2025-06,6.463,0.0729
2025-07,-0.1831,3.7448
2025-08,22.5552,7.0381
2025-09,161.6408,14.6125
2025-10,326.7235,18.7197
2025-11,336.7723,18.027
2025-12,328.9574,17.0437
2026-01,938.9234,20.2757
2026-02,891.9773,18.3229
