Date,rate_TRI_5D,rate_VOO_20D
2016-01,0.7528,-3.28
2016-02,0.835,-1.8027
2016-03,10.656,4.5695
2016-04,9.6746,3.6217
2016-05,11.0357,4.6859
2016-06,4.9923,4.2011
2016-07,8.4839,7.3141
2016-08,6.7942,6.5393
2016-09,5.6507,5.8417
2016-10,0.0939,3.4057
2016-11,10.1641,7.0013
2016-12,10.7626,8.6582
2017-01,12.5931,9.9058
2017-02,6.283,13.4199
2017-03,8.1691,12.5861
2017-04,13.127,12.9516
2017-05,8.9986,13.7442
2017-06,14.9944,14.6714
2017-07,13.2191,16.2352
2017-08,12.6976,15.7466
2017-09,12.5833,17.3266
2017-10,14.3493,19.2474
2017-11,8.0941,22.0133
2017-12,6.5317,22.6523
2018-01,5.5887,28.4864
2018-02,-3.2978,22.6807
2018-03,-4.9717,18.8927
2018-04,-0.9339,18.6249
2018-05,-3.4919,20.8091
2018-06,0.3214,20.9812
2018-07,2.9917,24.5763
2018-08,10.6721,27.7899
2018-09,13.193,27.6747
2018-10,15.0986,18.1983
2018-11,23.8213,19.8597
2018-12,18.2487,8.8011
2019-01,27.5615,17.1215
2019-02,31.8421,20.4441
2019-03,43.4139,22.1999
2019-04,48.6626,26.5012
2019-05,52.7527,17.9266
2019-06,53.3254,25.7011
2019-07,58.4628,26.9004
2019-08,61.4685,24.2426
2019-09,55.9106,26.142
2019-10,55.5859,28.3311
2019-11,62.7632,32.3256
2019-12,63.8557,35.5485
2020-01,82.3711,34.7719
2020-02,67.5554,23.2511
2020-03,52.3183,7.5779
2020-04,57.3156,21.2186
2020-05,50.1406,26.5774
2020-06,50.5252,28.3766
2020-07,53.7162,35.3325
2020-08,67.8512,44.0777
2020-09,74.0228,37.914
2020-10,68.5774,33.7633
2020-11,71.4121,47.7098
2020-12,75.6974,52.3667
2021-01,73.733,49.9654
2021-02,83.7916,53.2453
2021-03,84.7164,60.4049
2021-04,94.0894,67.83
2021-05,104.4071,67.8968
2021-06,105.6155,70.6358
2021-07,117.7269,73.7106
2021-08,138.9471,77.7187
2021-09,123.9643,68.3779
2021-10,141.9969,79.119
2021-11,139.2881,76.6949
2021-12,137.4841,83.6042
2022-01,111.4639,72.9303
2022-02,98.4997,66.8181
2022-03,112.3702,72.1992
2022-04,93.6897,56.2223
2022-05,91.5588,55.8933
2022-06,100.334,42.4002
2022-07,114.4734,54.8512
2022-08,109.6103,47.8158
2022-09,94.258,33.7039
2022-10,99.9912,44.0824
2022-11,121.0402,51.4429
2022-12,112.8021,42.1877
2023-01,120.5501,50.5828
2023-02,123.8272,46.2373
2023-03,139.0922,52.2586
2023-04,140.0472,54.0684
2023-05,131.5103,54.1996
2023-06,160.4105,63.548
2023-07,159.1782,68.1942
2023-08,146.1307,64.7317
2023-09,132.2777,56.2636
2023-10,126.2682,52.2886
2023-11,163.3888,65.5989
2023-12,173.463,72.448
2024-01,176.1307,74.4576
2024-02,192.2257,82.7177
2024-03,186.6617,89.0282
2024-04,176.157,80.6052
2024-05,213.5207,88.8335
2024-06,205.023,96.0415
2024-07,191.0847,97.3583
2024-08,206.7636,101.128
2024-09,203.7618,105.7758
2024-10,189.5386,102.865
2024-11,186.8647,113.7798
2024-12,181.2598,107.7813
2025-01,193.308,112.3595
2025-02,210.8864,108.6721
2025-03,198.5542,96.0839
2025-04,219.4383,93.6359
2025-05,240.1301,104.9003
2025-06,242.2409,114.5225
2025-07,239.7601,118.4064
2025-08,199.5441,121.8959
2025-09,160.4948,128.6764
2025-10,155.3648,133.0211
2025-11,125.8011,132.409
2025-12,118.9109,131.4906
2026-01,82.8227,133.7386
2026-02,58.7507,130.7823
2026-03,63.3262,129.7769
