Date,rate_EXPD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.353,-1.8027
2016-03,7.8592,4.5695
2016-04,7.5943,3.6217
2016-05,7.2199,4.6859
2016-06,7.047,4.2011
2016-07,6.69,7.3141
2016-08,8.4187,6.5393
2016-09,9.2102,5.8417
2016-10,8.1846,3.4057
2016-11,10.9858,7.0013
2016-12,10.4177,8.6582
2017-01,7.802,9.9058
2017-02,16.031,13.4199
2017-03,15.0776,12.5861
2017-04,13.3303,12.9516
2017-05,7.9766,13.7442
2017-06,13.6576,14.6714
2017-07,17.7259,16.2352
2017-08,11.3427,15.7466
2017-09,18.1781,17.3266
2017-10,14.4592,19.2474
2017-11,27.1073,22.0133
2017-12,25.8256,22.6523
2018-01,25.2928,28.4864
2018-02,24.3622,22.6807
2018-03,20.4214,18.8927
2018-04,20.7499,18.6249
2018-05,40.7894,20.8091
2018-06,36.7921,20.9812
2018-07,41.2896,24.5763
2018-08,34.6979,27.7899
2018-09,34.1016,27.6747
2018-10,21.6367,18.1983
2018-11,37.767,19.8597
2018-12,23.8705,8.8011
2019-01,25.4123,17.1215
2019-02,34.8836,20.4441
2019-03,35.6695,22.1999
2019-04,40.9616,26.5012
2019-05,23.6055,17.9266
2019-06,35.9421,25.7011
2019-07,35.9716,26.9004
2019-08,25.9607,24.2426
2019-09,30.9981,26.142
2019-10,27.9928,28.3311
2019-11,32.2971,32.3256
2019-12,38.2421,35.5485
2020-01,28.7008,34.7719
2020-02,23.5365,23.2511
2020-03,16.6181,7.5779
2020-04,24.8447,21.2186
2020-05,35.3412,26.5774
2020-06,34.1491,28.3766
2020-07,48.3852,35.3325
2020-08,54.2835,44.0777
2020-09,56.9945,37.914
2020-10,52.334,33.7633
2020-11,54.049,47.7098
2020-12,62.9615,52.3667
2021-01,52.4263,49.9654
2021-02,55.4871,53.2453
2021-03,81.2192,60.4049
2021-04,83.5563,67.83
2021-05,112.3439,67.8968
2021-06,112.2726,70.6358
2021-07,113.3309,73.7106
2021-08,105.713,77.7187
2021-09,95.1852,68.3779
2021-10,100.5777,79.119
2021-11,97.421,76.6949
2021-12,116.4372,83.6042
2022-01,83.1732,72.9303
2022-02,64.3777,66.8181
2022-03,63.2256,72.1992
2022-04,56.0026,56.2223
2022-05,71.6267,55.8933
2022-06,52.8993,42.4002
2022-07,65.947,54.8512
2022-08,59.9037,47.8158
2022-09,36.6167,33.7039
2022-10,50.8641,44.0824
2022-11,79.1962,51.4429
2022-12,59.6387,42.1877
2023-01,65.4014,50.5828
2023-02,59.1338,46.2373
2023-03,66.8613,52.2586
2023-04,71.7068,54.0684
2023-05,66.6145,54.1996
2023-06,82.1052,63.548
2023-07,90.4241,68.1942
2023-08,73.7102,64.7317
2023-09,69.8411,56.2636
2023-10,61.1713,52.2886
2023-11,77.8066,65.5989
2023-12,87.0822,72.448
2024-01,84.9117,74.4576
2024-02,74.2671,82.7177
2024-03,76.364,89.0282
2024-04,60.8152,80.6052
2024-05,73.9938,88.8335
2024-06,79.8813,96.0415
2024-07,79.2161,97.3583
2024-08,76.43,101.128
2024-09,87.0706,105.7758
2024-10,68.7112,102.865
2024-11,71.794,113.7798
2024-12,56.8769,107.7813
2025-01,60.3164,112.3595
2025-02,65.0807,108.6721
2025-03,68.5404,96.0839
2025-04,53.4825,93.6359
2025-05,56.9346,104.9003
2025-06,59.6091,114.5225
2025-07,61.795,118.4064
2025-08,67.2353,121.8959
2025-09,69.4921,128.6764
2025-10,67.9607,133.0211
2025-11,101.6962,132.409
2025-12,104.7989,131.4906
2026-01,119.7031,133.7386
2026-02,97.6055,130.7823
2026-03,91.0892,126.4154
