Date,rate_SLDP_5D,rate_VOO_20D
2021-05,0.0,0.0
2021-06,5.2815,5.9495
2021-07,-0.7703,9.0243
2021-08,-0.578,13.0324
2021-09,0.9208,3.6916
2021-10,22.2682,14.4327
2021-11,15.2331,12.0086
2021-12,-16.4025,18.9179
2022-01,-34.7742,8.244
2022-02,-18.4817,2.1318
2022-03,-8.5641,7.5129
2022-04,-13.836,-8.464
2022-05,-3.0138,-8.793
2022-06,-41.755,-22.2861
2022-07,-28.2876,-9.8351
2022-08,-23.6186,-16.8705
2022-09,-37.7284,-30.9824
2022-10,-31.3566,-20.6039
2022-11,-54.0211,-13.2434
2022-12,-66.0338,-22.4986
2023-01,-51.0865,-14.1035
2023-02,-48.4003,-18.449
2023-03,-51.5697,-12.4277
2023-04,-61.8283,-10.6179
2023-05,-60.606,-10.4867
2023-06,-51.6439,-1.1383
2023-07,-43.4106,3.5079
2023-08,-56.8769,0.0454
2023-09,-57.1423,-8.4227
2023-10,-70.7146,-12.3977
2023-11,-66.314,0.9126
2023-12,-63.4025,7.7617
2024-01,-56.9772,9.7713
2024-02,-55.0182,18.0314
2024-03,-42.3992,24.3419
2024-04,-50.9907,15.9189
2024-05,-47.2976,24.1472
2024-06,-49.7035,31.3551
2024-07,-41.2368,32.672
2024-08,-54.3048,36.4417
2024-09,-55.6051,41.0895
2024-10,-59.8771,38.1787
2024-11,-59.1472,49.0935
2024-12,-31.3106,43.095
2025-01,-48.9437,47.6732
2025-02,-53.8676,43.9857
2025-03,-59.6255,31.3976
2025-04,-56.7809,28.9495
2025-05,-36.5568,40.214
2025-06,-9.9503,49.8362
2025-07,31.3928,53.7201
2025-08,77.5587,57.2096
2025-09,41.1404,63.9901
2025-10,153.7569,68.3348
2025-11,107.8202,67.7227
2025-12,68.3974,66.8042
2026-01,76.24,69.0522
2026-02,38.2444,66.096
2026-03,16.6223,52.9235
2026-04,33.8212,74.7
2026-05,27.8766,86.1511
2026-06,7.7686,80.0934
