Date,rate_PODD_5D,rate_VOO_20D
2016-01,-10.088,-3.28
2016-02,-12.3328,-1.8027
2016-03,-0.7144,4.5695
2016-04,-0.3904,3.6217
2016-05,-10.0874,4.6859
2016-06,-8.0311,4.2011
2016-07,8.5218,7.3141
2016-08,28.4533,6.5393
2016-09,21.1483,5.8417
2016-10,7.9553,3.4057
2016-11,-2.6527,7.0013
2016-12,9.4822,8.6582
2017-01,20.0302,9.9058
2017-02,24.1387,13.4199
2017-03,20.8391,12.5861
2017-04,20.4225,12.9516
2017-05,15.2195,13.7442
2017-06,39.7016,14.6714
2017-07,34.9327,16.2352
2017-08,53.7477,15.7466
2017-09,43.4313,17.3266
2017-10,51.0193,19.2474
2017-11,81.4669,22.0133
2017-12,71.3654,22.6523
2018-01,86.8837,28.4864
2018-02,80.0754,22.6807
2018-03,104.5175,18.8927
2018-04,99.2108,18.6249
2018-05,113.4509,20.8091
2018-06,91.5635,20.9812
2018-07,83.0301,24.5763
2018-08,126.1249,27.7899
2018-09,125.8816,27.6747
2018-10,85.0498,18.1983
2018-11,73.7181,19.8597
2018-12,62.2582,8.8011
2019-01,64.3558,17.1215
2019-02,88.0598,20.4441
2019-03,88.122,22.1999
2019-04,68.6504,26.5012
2019-05,112.5472,17.9266
2019-06,128.1798,25.7011
2019-07,131.9214,26.9004
2019-08,186.9894,24.2426
2019-09,202.5605,26.142
2019-10,162.7585,28.3311
2019-11,231.2748,32.3256
2019-12,200.991,35.5485
2020-01,236.4628,34.7719
2020-02,224.782,23.2511
2020-03,179.4626,7.5779
2020-04,232.7884,21.2186
2020-05,210.1179,26.5774
2020-06,215.4553,28.3766
2020-07,226.1114,35.3325
2020-08,245.6317,44.0777
2020-09,269.9469,37.914
2020-10,243.1579,33.7633
2020-11,293.0681,47.7098
2020-12,285.0207,52.3667
2021-01,297.5216,49.9654
2021-02,280.8725,53.2453
2021-03,279.0018,60.4049
2021-04,323.8169,67.83
2021-05,282.6328,67.8968
2021-06,285.1652,70.6358
2021-07,288.0669,73.7106
2021-08,308.6658,77.7187
2021-09,285.7579,68.3779
2021-10,316.2665,79.119
2021-11,283.1862,76.6949
2021-12,249.8888,83.6042
2022-01,222.9497,72.9303
2022-02,241.453,66.8181
2022-03,240.4255,72.1992
2022-04,202.5658,56.2223
2022-05,167.9313,55.8933
2022-06,171.3562,42.4002
2022-07,205.9855,54.8512
2022-08,212.8074,47.8158
2022-09,178.522,33.7039
2022-10,211.7445,44.0824
2022-11,257.586,51.4429
2022-12,248.5957,42.1877
2023-01,237.3784,50.5828
2023-02,221.8461,46.2373
2023-03,268.4366,52.2586
2023-04,264.3334,54.0684
2023-05,211.6663,54.1996
2023-06,225.1969,63.548
2023-07,209.7565,68.1942
2023-08,113.1197,64.7317
2023-09,76.3196,56.2636
2023-10,45.9243,52.2886
2023-11,107.3314,65.5989
2023-12,136.5857,72.448
2024-01,106.9143,74.4576
2024-02,76.8416,82.7177
2024-03,83.9717,89.0282
2024-04,83.7285,80.6052
2024-05,88.4853,88.8335
2024-06,113.6513,96.0415
2024-07,104.7346,97.3583
2024-08,112.5303,101.128
2024-09,142.6949,105.7758
2024-10,140.0781,102.865
2024-11,175.058,113.7798
2024-12,167.5895,107.7813
2025-01,183.6795,112.3595
2025-02,175.8276,108.6721
2025-03,164.5225,96.0839
2025-04,152.7223,93.6359
2025-05,223.7961,104.9003
2025-06,211.0971,114.5225
2025-07,183.9445,118.4064
2025-08,232.7412,121.8959
2025-09,200.4539,128.6764
2025-10,202.9007,133.0211
2025-11,214.8275,132.409
2025-12,172.0252,131.4906
2026-01,143.5596,133.7386
2026-02,133.673,130.7823
2026-03,131.4932,129.7769
