Date,rate_TER_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.0813,-1.8027
2016-03,9.0968,4.5695
2016-04,-6.5605,3.6217
2016-05,-0.7485,4.6859
2016-06,-1.207,4.2011
2016-07,-0.5548,7.3141
2016-08,6.0974,6.5393
2016-09,7.9358,5.8417
2016-10,15.6237,3.4057
2016-11,19.5678,7.0013
2016-12,23.2082,8.6582
2017-01,35.6353,9.9058
2017-02,33.3131,13.4199
2017-03,43.1811,12.5861
2017-04,59.2994,12.9516
2017-05,56.9625,13.7442
2017-06,29.9611,14.6714
2017-07,47.8482,16.2352
2017-08,49.7528,15.7466
2017-09,54.3036,17.3266
2017-10,74.617,19.2474
2017-11,61.7489,22.0133
2017-12,64.7144,22.6523
2018-01,77.4817,28.4864
2018-02,72.8262,22.6807
2018-03,71.3305,18.8927
2018-04,20.232,18.6249
2018-05,39.0821,20.8091
2018-06,38.243,20.9812
2018-07,55.624,24.5763
2018-08,46.5634,27.7899
2018-09,30.328,27.6747
2018-10,20.5948,18.1983
2018-11,24.1803,19.8597
2018-12,8.6152,8.8011
2019-01,24.2806,17.1215
2019-02,40.1831,20.4441
2019-03,35.7707,22.1999
2019-04,65.7208,26.5012
2019-05,41.1747,17.9266
2019-06,59.3727,25.7011
2019-07,83.7006,26.9004
2019-08,72.8413,24.2426
2019-09,87.1733,26.142
2019-10,95.8485,28.3311
2019-11,98.1008,32.3256
2019-12,113.5804,35.5485
2020-01,104.4513,34.7719
2020-02,80.516,23.2511
2020-03,64.9689,7.5779
2020-04,89.0808,21.2186
2020-05,101.2732,26.5774
2020-06,151.3772,28.3766
2020-07,161.7428,35.3325
2020-08,147.2551,44.0777
2020-09,129.098,37.914
2020-10,150.7535,33.7633
2020-11,211.9863,47.7098
2020-12,235.0496,52.3667
2021-01,213.5006,49.9654
2021-02,251.5856,53.2453
2021-03,228.8126,60.4049
2021-04,234.2273,67.83
2021-05,250.0919,67.8968
2021-06,250.5342,70.6358
2021-07,228.8366,73.7106
2021-08,211.4841,77.7187
2021-09,177.3047,68.3779
2021-10,247.8992,79.119
2021-11,281.0739,76.6949
2021-12,303.4549,83.6042
2022-01,186.7633,72.9303
2022-02,185.6968,66.8181
2022-03,184.0142,72.1992
2022-04,151.2167,56.2223
2022-05,158.4895,55.8933
2022-06,110.2516,42.4002
2022-07,135.3538,54.8512
2022-08,96.3052,47.8158
2022-09,73.286,33.7039
2022-10,86.5994,44.0824
2022-11,113.8767,51.4429
2022-12,98.6808,42.1877
2023-01,129.9508,50.5828
2023-02,127.3641,46.2373
2023-03,140.1156,52.2586
2023-04,102.7625,54.0684
2023-05,121.2605,54.1996
2023-06,144.3079,63.548
2023-07,146.2304,68.1942
2023-08,133.9182,64.7317
2023-09,116.5117,56.2636
2023-10,78.46,52.2886
2023-11,97.4429,65.5989
2023-12,131.0637,72.448
2024-01,104.4751,74.4576
2024-02,118.4049,82.7177
2024-03,136.5382,89.0282
2024-04,142.4414,80.6052
2024-05,192.2977,88.8335
2024-06,205.5517,96.0415
2024-07,168.5175,97.3583
2024-08,178.3114,101.128
2024-09,171.1945,105.7758
2024-10,113.8459,102.865
2024-11,120.6069,113.7798
2024-12,151.2414,107.7813
2025-01,129.7705,112.3595
2025-02,117.8394,108.6721
2025-03,63.0181,96.0839
2025-04,45.9675,93.6359
2025-05,54.4064,104.9003
2025-06,76.0824,114.5225
2025-07,109.5251,118.4064
2025-08,129.5861,121.8959
2025-09,166.6306,128.6764
2025-10,250.1291,133.0211
2025-11,248.5056,132.409
2025-12,268.671,131.4906
2026-01,356.3284,133.7386
2026-02,502.8938,130.7823
2026-03,469.2279,127.7382
