Date,rate_GWW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,9.6907,-0.6039
2016-03,13.1214,5.2168
2016-04,10.1193,3.9893
2016-05,5.7083,4.6886
2016-06,4.1978,4.1237
2016-07,-0.3292,7.1795
2016-08,5.5485,6.3603
2016-09,2.3852,5.6281
2016-10,-5.5069,3.196
2016-11,5.8567,6.7601
2016-12,5.838,8.3626
2017-01,14.982,10.2536
2017-02,12.2439,13.6522
2017-03,4.4833,12.7005
2017-04,-13.6956,12.9818
2017-05,-21.3772,13.693
2017-06,-16.4056,13.5288
2017-07,-22.1144,15.0481
2017-08,-22.4049,14.5515
2017-09,-13.1097,16.1037
2017-10,-3.8634,17.9557
2017-11,8.4437,20.6805
2017-12,15.395,21.3029
2018-01,31.6642,28.0338
2018-02,27.0803,22.1441
2018-03,36.0157,18.3021
2018-04,34.2571,18.0902
2018-05,46.6068,20.2208
2018-06,44.634,20.3415
2018-07,60.7333,23.8746
2018-08,62.7883,27.0072
2018-09,64.3136,27.7347
2018-10,29.0689,18.1437
2018-11,42.2542,19.7418
2018-12,26.7084,8.5778
2019-01,32.5521,17.1263
2019-02,36.3773,20.3748
2019-03,33.6457,22.0514
2019-04,24.3039,26.2651
2019-05,15.4474,17.5943
2019-06,17.8823,25.308
2019-07,27.3592,26.4355
2019-08,19.8612,23.7232
2019-09,30.0837,26.1617
2019-10,34.5195,28.2707
2019-11,37.7388,32.1761
2019-12,46.1445,35.3247
2020-01,30.7206,35.2749
2020-02,19.8862,23.5454
2020-03,6.8473,7.7105
2020-04,18.3896,21.425
2020-05,33.2277,26.7132
2020-06,34.4924,28.4357
2020-07,45.4353,35.3124
2020-08,55.2452,43.9511
2020-09,50.4811,37.6938
2020-10,46.6818,33.4637
2020-11,74.6937,47.2943
2020-12,69.2145,51.8455
2021-01,51.0648,50.305
2021-02,54.1414,53.4604
2021-03,64.6232,59.4101
2021-04,76.7231,66.6882
2021-05,87.5572,66.6274
2021-06,76.354,69.2184
2021-07,77.6722,72.1455
2021-08,72.7362,75.992
2021-09,55.5149,66.6118
2021-10,82.075,77.1553
2021-11,88.5203,74.6519
2021-12,101.4453,81.397
2022-01,91.0234,70.7122
2022-02,83.3801,64.6001
2022-03,96.9423,69.8532
2022-04,89.5634,54.0273
2022-05,84.0802,53.6333
2022-06,70.6261,40.2902
2022-07,102.7846,52.5094
2022-08,106.2088,45.531
2022-09,80.4973,31.5965
2022-10,114.2622,41.7445
2022-11,120.1632,48.9584
2022-12,101.6294,39.838
2023-01,113.6698,48.5632
2023-02,141.1562,44.2258
2023-03,146.6292,48.9578
2023-04,147.2017,50.6836
2023-05,129.6554,50.7741
2023-06,177.059,59.884
2023-07,157.4838,64.3798
2023-08,147.856,60.953
2023-09,138.4553,52.6248
2023-10,149.8181,48.7132
2023-11,167.8189,61.6976
2023-12,180.207,68.3392
2024-01,202.8026,71.0275
2024-02,227.1678,79.0476
2024-03,239.2296,83.99
2024-04,204.8663,75.7344
2024-05,203.3447,83.6813
2024-06,194.9367,89.2836
2024-07,217.0601,90.5002
2024-08,218.0792,94.0822
2024-09,235.4375,98.2932
2024-10,255.4981,95.412
2024-11,284.0311,105.8418
2024-12,233.4356,99.9875
2025-01,236.1536,105.351
2025-02,221.4385,101.7087
2025-03,208.843,89.4719
2025-04,218.0693,87.0451
2025-05,236.0645,97.8575
2025-06,219.27,107.0685
2025-07,216.9318,110.7404
2025-08,207.7614,114.0337
2025-09,189.4264,121.6081
2025-10,195.48,125.7153
2025-11,185.2537,125.0226
2025-12,201.5507,124.0393
2026-01,222.6864,127.2713
2026-02,114.4832,125.3185
