Date,rate_RCL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-13.9642,-3.7423
2016-03,-15.3972,0.3764
2016-04,-4.0401,5.1946
2016-05,-8.3593,3.5695
2016-06,-6.7858,4.8356
2016-07,-15.2934,4.3651
2016-08,-9.6659,7.2005
2016-09,-7.3875,6.5176
2016-10,-3.083,5.8316
2016-11,-1.1379,2.6321
2016-12,2.9552,6.5262
2017-01,6.8708,8.6002
2017-02,22.2634,9.8701
2017-03,24.478,14.9815
2017-04,25.6671,12.5254
2017-05,37.0788,13.1716
2017-06,40.8892,14.581
2017-07,34.2841,14.626
2017-08,41.7402,16.4591
2017-09,48.4546,15.9061
2017-10,40.1434,17.2911
2017-11,41.0205,19.4181
2017-12,44.267,21.7575
2018-01,36.3341,22.6249
2018-02,50.7405,28.3844
2018-03,38.3609,21.0506
2018-04,30.7175,18.8566
2018-05,20.6112,18.843
2018-06,17.0189,22.0592
2018-07,14.772,20.962
2018-08,21.3404,24.4135
2018-09,34.4829,27.7869
2018-10,41.8822,28.1445
2018-11,17.6576,19.3954
2018-12,22.1409,19.8359
2019-01,5.8531,8.7501
2019-02,27.8695,17.203
2019-03,27.9071,21.2677
2019-04,24.2826,23.6016
2019-05,38.0281,25.5902
2019-06,29.3736,17.8911
2019-07,25.5121,26.7327
2019-08,20.6627,25.8061
2019-09,9.8948,24.2046
2019-10,10.8821,24.595
2019-11,17.5465,29.5299
2019-12,26.4874,32.3145
2020-01,40.9066,35.5516
2020-02,22.8318,34.7733
2020-03,-15.9547,23.2161
2020-04,-72.147,2.6957
2020-05,-53.7439,17.923
2020-06,-35.4916,27.1545
2020-07,-40.4695,29.2791
2020-08,-42.249,35.3897
2020-09,-17.7154,45.4969
2020-10,-20.9748,38.8421
2020-11,-31.6719,33.8054
2020-12,-4.4434,49.4413
2021-01,-8.7683,52.4925
2021-02,-19.5632,52.5474
2021-03,12.1913,57.1165
2021-04,6.2585,62.2404
2021-05,6.5021,68.0147
2021-06,17.7809,67.9506
2021-07,4.8616,71.7835
2021-08,-6.217,73.9065
2021-09,0.4308,78.108
2021-10,12.7439,70.559
2021-11,7.6231,79.7147
2021-12,-21.727,74.8714
2022-01,-5.9858,83.8439
2022-02,-0.6069,74.2485
2022-03,-9.8512,64.4857
2022-04,2.5211,72.8765
2022-05,-4.7778,56.3809
2022-06,-31.8812,54.7432
2022-07,-56.4821,43.9638
2022-08,-55.1417,54.5402
2022-09,-47.9253,48.4061
2022-10,-51.2216,33.808
2022-11,-32.2452,43.6413
2022-12,-20.1514,51.6237
2023-01,-35.0071,42.3283
2023-02,-10.9913,52.4008
2023-03,-5.2598,45.8599
2023-04,-13.4208,52.4428
2023-05,-11.0381,54.1535
2023-06,10.6976,55.8684
2023-07,37.8268,63.7729
2023-08,42.3109,67.9151
2023-09,28.9905,65.3142
2023-10,21.3548,56.4671
2023-11,12.0953,54.158
2023-12,45.3981,66.8181
2024-01,69.4774,72.7134
2024-02,65.4628,77.0248
2024-03,61.2892,84.7703
2024-04,81.7451,89.0895
2024-05,77.0137,80.3005
2024-06,89.2715,89.1407
2024-07,99.6087,96.817
2024-08,88.0022,94.9948
2024-09,108.0455,101.4737
2024-10,119.352,104.2286
2024-11,154.5417,104.0979
2024-12,205.7049,114.1559
2025-01,189.2105,108.1307
2025-02,232.2206,112.719
2025-03,204.7251,109.0154
2025-04,158.9063,97.097
2025-05,173.1343,95.2965
2025-06,216.1361,105.2137
2025-07,286.2415,114.7559
2025-08,282.7155,115.142
2025-09,339.5365,122.2543
2025-10,281.0958,129.8729
2025-11,243.7309,133.4127
2025-12,217.5832,131.7276
2026-01,233.9147,131.8756
2026-02,267.8625,131.1612
