Date,rate_CRM_5D,rate_VOO_20D
2016-01,0.0,-0.1777
2016-02,-1.4967,-0.0314
2016-03,6.4942,5.187
2016-04,6.8881,3.6797
2016-05,15.9488,3.1295
2016-06,7.4542,1.6351
2016-07,9.4242,4.6041
2016-08,5.1787,4.1366
2016-09,-5.6066,2.987
2016-10,0.112,0.8639
2016-11,-4.1712,4.3141
2016-12,-8.1705,6.0824
2017-01,6.0161,7.9429
2017-02,8.5603,11.2911
2017-03,9.2085,10.5412
2017-04,13.3435,10.8734
2017-05,17.0186,11.6776
2017-06,12.0456,11.6154
2017-07,16.771,13.1314
2017-08,21.8112,12.7287
2017-09,18.0624,14.3342
2017-10,28.3217,16.2325
2017-11,29.4859,18.9549
2017-12,25.6403,19.6262
2018-01,39.961,26.238
2018-02,41.1559,19.9516
2018-03,39.4486,16.2518
2018-04,43.5019,15.1572
2018-05,51.5705,17.311
2018-06,57.8571,17.5108
2018-07,56.6038,20.9213
2018-08,72.1857,24.0281
2018-09,79.34,24.7402
2018-10,52.5693,17.981
2018-11,56.9146,18.3692
2018-12,48.8638,7.5007
2019-01,65.1366,15.9689
2019-02,75.6427,19.2225
2019-03,67.8706,20.8741
2019-04,73.2246,25.0855
2019-05,56.8545,19.0127
2019-06,55.7896,22.8977
2019-07,57.124,24.0373
2019-08,57.3291,20.9149
2019-09,49.6419,23.2381
2019-10,56.4616,23.2464
2019-11,61.3889,27.0887
2019-12,59.731,30.1681
2020-01,79.035,29.6659
2020-02,65.6348,22.8765
2020-03,38.6578,18.5968
2020-04,55.1468,33.4196
2020-05,66.2566,38.995
2020-06,76.6592,38.083
2020-07,82.052,42.4175
2020-08,152.2046,51.3811
2020-09,129.6519,43.2295
2020-10,109.9574,37.6534
2020-11,119.9705,46.2699
2020-12,97.1746,50.7796
2021-01,99.8567,48.7298
2021-02,90.0718,45.5951
2021-03,84.418,47.1283
2021-04,98.7741,53.9463
2021-05,103.7713,48.9882
2021-06,107.2461,51.4587
2021-07,103.4802,54.2414
2021-08,121.2201,57.8367
2021-09,124.1502,49.5896
2021-10,145.4635,57.5002
2021-11,131.224,54.8735
2021-12,104.597,57.0876
2022-01,85.829,47.5504
2022-02,67.029,39.1192
2022-03,67.4586,43.2002
2022-04,37.9497,36.1244
2022-05,25.1436,37.7767
2022-06,28.3801,22.6093
2022-07,42.6621,33.3609
2022-08,20.5611,27.4386
2022-09,10.8416,18.8272
2022-10,25.0587,23.4213
2022-11,22.9521,29.8603
2022-12,1.5934,24.6232
2023-01,28.6568,29.7169
2023-02,24.9273,26.3204
2023-03,52.0937,29.739
2023-04,50.3888,31.4054
2023-05,68.6298,31.633
2023-06,58.7455,39.7142
2023-07,68.3018,43.7604
2023-08,64.8451,39.1386
2023-09,50.2534,32.0966
2023-10,48.2202,28.8359
2023-11,85.1524,40.1718
2023-12,92.3549,46.0836
2024-01,105.4706,43.7661
2024-02,124.3993,50.6773
2024-03,117.7641,54.9988
2024-04,93.2854,49.5349
2024-05,67.6304,53.3569
2024-06,83.0151,58.1938
2024-07,83.6164,56.5839
2024-08,78.5987,59.3404
2024-09,93.5573,58.4112
2024-10,105.0077,56.3075
2024-11,130.9044,64.8064
2024-12,132.8543,60.3186
2025-01,137.9757,64.6165
2025-02,106.2444,61.4171
2025-03,84.9028,55.5919
2025-04,84.5744,54.3347
2025-05,81.4533,63.4201
2025-06,85.9369,71.1544
2025-07,75.374,74.355
2025-08,73.2798,77.2278
2025-09,60.5444,83.4997
2025-10,75.7646,87.0447
2025-11,54.9766,86.633
2025-12,77.7421,85.9674
2026-01,42.5159,88.6607
2026-02,23.4016,85.4175
