Date,rate_MRVL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.3864,-0.6039
2016-03,11.6198,5.2168
2016-04,6.0176,3.9893
2016-05,7.8138,4.6886
2016-06,-0.8848,4.1237
2016-07,22.2588,7.1795
2016-08,25.9067,6.3603
2016-09,31.1647,5.6281
2016-10,25.8722,3.196
2016-11,35.94,6.7601
2016-12,28.7574,8.3626
2017-01,38.0324,10.2536
2017-02,41.4534,13.6522
2017-03,35.2943,12.7005
2017-04,30.9315,12.9818
2017-05,48.0301,13.693
2017-06,38.9454,13.5288
2017-07,28.9502,15.0481
2017-08,46.5512,14.5515
2017-09,44.135,16.1037
2017-10,46.3977,17.9557
2017-11,74.5316,20.6805
2017-12,64.632,21.3029
2018-01,78.8893,28.0338
2018-02,76.92,22.1441
2018-03,55.4281,18.3021
2018-04,46.5624,18.0902
2018-05,55.4502,20.2208
2018-06,52.6389,20.3415
2018-07,49.888,23.8746
2018-08,43.8451,27.0072
2018-09,34.2495,27.7347
2018-10,13.2018,18.1437
2018-11,10.5074,19.7418
2018-12,10.6717,8.5778
2019-01,26.6617,17.1263
2019-02,35.5254,20.3748
2019-03,34.0803,22.0514
2019-04,67.3848,26.2651
2019-05,47.5909,17.5943
2019-06,56.6194,25.308
2019-07,70.6417,26.4355
2019-08,54.1922,23.7232
2019-09,60.6247,26.1617
2019-10,55.5332,28.2707
2019-11,66.6393,32.1761
2019-12,66.3171,35.3247
2020-01,50.5407,35.2749
2020-02,32.3458,23.5454
2020-03,39.7618,7.7105
2020-04,64.2264,21.425
2020-05,98.7885,26.7132
2020-06,111.4088,28.4357
2020-07,117.5768,35.3124
2020-08,128.7932,43.9511
2020-09,131.6036,37.6938
2020-10,116.4049,33.4637
2020-11,164.3596,47.2943
2020-12,168.3477,51.8455
2021-01,190.4739,50.305
2021-02,169.2289,53.4604
2021-03,170.0099,59.4101
2021-04,146.4449,66.6882
2021-05,160.6157,66.6274
2021-06,211.4545,69.2184
2021-07,219.4555,72.1455
2021-08,219.3972,75.992
2021-09,211.3209,66.6118
2021-10,249.7925,77.1553
2021-11,259.3512,74.6519
2021-12,336.8327,81.397
2022-01,252.3121,70.7122
2022-02,233.5339,64.6001
2022-03,246.4954,69.8532
2022-04,177.7615,54.0273
2022-05,180.2352,53.6333
2022-06,104.3903,40.2902
2022-07,159.6154,52.5094
2022-08,116.4684,45.531
2022-09,96.9683,31.5965
2022-10,80.8954,41.7445
2022-11,110.8184,48.9584
2022-12,66.7324,39.838
2023-01,94.2354,48.5632
2023-02,101.8821,44.2258
2023-03,92.363,48.9578
2023-04,74.3726,50.6836
2023-05,156.9351,50.7741
2023-06,160.5868,59.884
2023-07,181.7562,64.3798
2023-08,150.0456,60.953
2023-09,130.7246,52.6248
2023-10,99.9333,48.7132
2023-11,134.5875,61.6976
2023-12,152.2654,68.3392
2024-01,183.169,71.0275
2024-02,197.56,79.0476
2024-03,192.0597,83.99
2024-04,169.58,75.7344
2024-05,179.5453,83.6813
2024-06,182.0164,89.2836
2024-07,168.3597,90.5002
2024-08,203.4992,94.0822
2024-09,187.1016,98.2932
2024-10,216.7692,95.412
2024-11,263.8501,105.8418
2024-12,330.2836,99.9875
2025-01,339.6704,105.351
2025-02,254.9157,101.7087
2025-03,136.3337,89.4719
2025-04,122.7508,87.0451
2025-05,128.4074,97.8575
2025-06,192.0662,107.0685
2025-07,201.3638,110.7404
2025-08,134.3034,114.0337
2025-09,213.3087,121.6081
2025-10,247.0911,125.7153
2025-11,228.8512,125.0226
2025-12,210.5609,124.0393
2026-01,188.4194,127.2713
2026-02,12.4735,125.3185
