Date,rate_EIX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.4586,-3.7423
2016-03,10.3518,0.3764
2016-04,15.7203,5.1946
2016-05,9.8538,3.5695
2016-06,9.1749,4.8356
2016-07,17.4942,4.3651
2016-08,14.0917,7.2005
2016-09,5.9767,6.5176
2016-10,5.3449,5.8316
2016-11,5.1625,2.6321
2016-12,-1.005,6.5262
2017-01,4.8115,8.6002
2017-02,3.8672,9.8701
2017-03,14.8392,14.9815
2017-04,14.9519,12.5254
2017-05,13.4805,13.1716
2017-06,16.8198,14.581
2017-07,11.0598,14.626
2017-08,11.4466,16.4591
2017-09,12.3873,15.9061
2017-10,8.6511,17.2911
2017-11,10.9319,19.4181
2017-12,12.7988,21.7575
2018-01,-11.2516,22.6249
2018-02,-12.9219,28.3844
2018-03,-13.7904,21.0506
2018-04,-8.3112,18.8566
2018-05,-5.3313,18.843
2018-06,-11.9258,22.0592
2018-07,-5.3589,20.962
2018-08,-0.9811,24.4135
2018-09,-1.4782,27.7869
2018-10,2.1999,28.1445
2018-11,3.099,19.3954
2018-12,-16.4338,19.8359
2019-01,-10.9847,8.7501
2019-02,-10.9764,17.203
2019-03,-3.2411,21.2677
2019-04,0.0032,23.6016
2019-05,-3.844,25.5902
2019-06,-5.2214,17.8911
2019-07,7.1927,26.7327
2019-08,20.8423,25.8061
2019-09,17.7405,24.2046
2019-10,22.9766,24.595
2019-11,8.6836,29.5299
2019-12,14.3202,32.3145
2020-01,25.4845,35.5516
2020-02,26.8504,34.7733
2020-03,10.8669,23.2161
2020-04,-14.5153,2.6957
2020-05,-6.8456,17.923
2020-06,-0.7553,27.1545
2020-07,-7.31,29.2791
2020-08,-2.3273,35.3897
2020-09,-9.0666,45.4969
2020-10,-10.1962,38.8421
2020-11,-0.0338,33.8054
2020-12,10.7572,49.4413
2021-01,13.057,52.4925
2021-02,4.2002,52.5474
2021-03,-1.4338,57.1165
2021-04,5.8464,62.2404
2021-05,7.8568,68.0147
2021-06,0.7937,67.9506
2021-07,4.9295,71.7835
2021-08,3.482,73.9065
2021-09,10.522,78.108
2021-10,5.5603,70.559
2021-11,21.3076,79.7147
2021-12,25.441,74.8714
2022-01,31.434,83.8439
2022-02,18.3709,74.2485
2022-03,21.9138,64.4857
2022-04,37.0783,72.8765
2022-05,32.2618,56.3809
2022-06,33.6431,54.7432
2022-07,23.1237,43.9638
2022-08,33.1171,54.5402
2022-09,35.2334,48.4061
2022-10,13.0977,33.808
2022-11,20.7798,43.6413
2022-12,30.5076,51.6237
2023-01,27.8351,42.3283
2023-02,36.0227,52.4008
2023-03,29.0493,45.8599
2023-04,42.1417,52.4428
2023-05,48.4031,54.1535
2023-06,33.3222,55.8684
2023-07,38.4738,63.7729
2023-08,44.1444,67.9151
2023-09,38.3421,65.3142
2023-10,29.0937,56.4671
2023-11,30.1653,54.158
2023-12,36.9714,66.8181
2024-01,46.2806,72.7134
2024-02,39.2746,77.0248
2024-03,35.3344,84.7703
2024-04,44.4482,89.0895
2024-05,45.7183,80.3005
2024-06,56.616,89.1407
2024-07,44.5662,96.817
2024-08,66.8083,94.9948
2024-09,77.1988,101.4737
2024-10,77.882,104.2286
2024-11,65.3944,104.0979
2024-12,78.2265,114.1559
2025-01,61.5008,108.1307
2025-02,10.5183,112.719
2025-03,11.3198,109.0154
2025-04,20.022,97.097
2025-05,12.9843,95.2965
2025-06,15.1217,105.2137
2025-07,9.2646,114.7559
2025-08,11.4089,115.142
2025-09,17.5931,122.2543
2025-10,17.7557,129.8729
2025-11,17.4539,133.4127
2025-12,23.1297,131.7276
2026-01,26.9332,131.8756
2026-02,29.256,120.852
