Date,rate_MTD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.199,-0.6039
2016-03,6.541,5.2168
2016-04,8.346,3.9893
2016-05,11.2662,4.6886
2016-06,6.3169,4.1237
2016-07,18.388,7.1795
2016-08,13.8114,6.3603
2016-09,16.8099,5.6281
2016-10,10.8539,3.196
2016-11,11.9508,6.7601
2016-12,12.7258,8.3626
2017-01,14.8778,10.2536
2017-02,26.533,13.6522
2017-03,25.1889,12.7005
2017-04,32.2341,12.9818
2017-05,47.5313,13.693
2017-06,46.0451,13.5288
2017-07,39.7783,15.0481
2017-08,45.2312,14.5515
2017-09,47.9124,16.1037
2017-10,58.4773,17.9557
2017-11,43.5881,20.6805
2017-12,39.5506,21.3029
2018-01,51.9103,28.0338
2018-02,36.6071,22.1441
2018-03,26.3141,18.3021
2018-04,22.1231,18.0902
2018-05,19.2545,20.2208
2018-06,24.3926,20.3415
2018-07,26.4882,23.8746
2018-08,23.9284,27.0072
2018-09,29.0776,27.7347
2018-10,15.0409,18.1437
2018-11,33.0514,19.7418
2018-12,17.3309,8.5778
2019-01,32.2868,17.1263
2019-02,39.9898,20.3748
2019-03,47.2635,22.0514
2019-04,50.3721,26.2651
2019-05,44.6431,17.5943
2019-06,66.4936,25.308
2019-07,48.5437,26.4355
2019-08,28.0682,23.7232
2019-09,37.2331,26.1617
2019-10,36.4916,28.2707
2019-11,38.3484,32.1761
2019-12,51.5054,35.3247
2020-01,44.6212,35.2749
2020-02,33.131,23.5454
2020-03,30.248,7.7105
2020-04,35.2273,21.425
2020-05,48.43,26.7132
2020-06,49.3293,28.4357
2020-07,72.0858,35.3124
2020-08,77.1639,43.9511
2020-09,74.7239,37.6938
2020-10,79.0193,33.4637
2020-11,104.4146,47.2943
2020-12,100.629,51.8455
2021-01,105.6288,50.305
2021-02,94.7179,53.4604
2021-03,99.7785,59.4101
2021-04,124.8082,66.6882
2021-05,120.5507,66.6274
2021-06,132.6648,69.2184
2021-07,145.0347,72.1455
2021-08,155.6049,75.992
2021-09,124.4983,66.6118
2021-10,139.1182,77.1553
2021-11,142.2893,74.6519
2021-12,169.09,81.397
2022-01,131.4877,70.7122
2022-02,119.5536,64.6001
2022-03,112.3185,69.8532
2022-04,96.1338,54.0273
2022-05,96.0298,53.6333
2022-06,74.0012,40.2902
2022-07,103.0911,52.5094
2022-08,81.1717,45.531
2022-09,61.1706,31.5965
2022-10,86.8006,41.7445
2022-11,115.5159,48.9584
2022-12,110.4721,39.838
2023-01,123.195,48.5632
2023-02,107.3701,44.2258
2023-03,119.8251,48.9578
2023-04,112.8011,50.6836
2023-05,87.5346,50.7741
2023-06,85.0153,59.884
2023-07,76.4117,64.3798
2023-08,69.3351,60.953
2023-09,53.8682,52.6248
2023-10,36.383,48.7132
2023-11,50.7111,61.6976
2023-12,66.639,68.3392
2024-01,64.4885,71.0275
2024-02,70.5287,79.0476
2024-03,81.1111,83.99
2024-04,66.4701,75.7344
2024-05,89.0628,83.6813
2024-06,87.236,89.2836
2024-07,102.7483,90.5002
2024-08,90.8838,94.0822
2024-09,98.8601,98.2932
2024-10,70.5522,95.412
2024-11,64.4569,105.8418
2024-12,60.1905,99.9875
2025-01,78.5755,105.351
2025-02,65.8458,101.7087
2025-03,53.3439,89.4719
2025-04,38.6321,87.0451
2025-05,49.1722,97.8575
2025-06,51.1638,107.0685
2025-07,58.1767,110.7404
2025-08,66.2481,114.0337
2025-09,56.877,121.6081
2025-10,80.1924,125.7153
2025-11,87.0695,125.0226
2025-12,75.8718,124.0393
2026-01,73.2337,127.2713
2026-02,22.2126,125.3185
