Date,rate_MOH_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,13.2624,-0.6039
2016-03,12.0116,5.2168
2016-04,-12.5932,3.9893
2016-05,-15.1804,4.6886
2016-06,-10.3976,4.1237
2016-07,3.5733,7.1795
2016-08,-2.2278,6.3603
2016-09,6.1883,5.6281
2016-10,-1.2725,3.196
2016-11,-3.9281,6.7601
2016-12,-1.0722,8.3626
2017-01,3.3968,10.2536
2017-02,-11.9055,13.6522
2017-03,-16.5387,12.7005
2017-04,-7.9725,12.9818
2017-05,19.7187,13.693
2017-06,26.7767,13.5288
2017-07,20.9909,15.0481
2017-08,14.8436,14.5515
2017-09,22.5285,16.1037
2017-10,19.811,17.9557
2017-11,37.0809,20.6805
2017-12,32.7545,21.3029
2018-01,58.1572,28.0338
2018-02,23.2261,22.1441
2018-03,37.2897,18.3021
2018-04,39.42,18.0902
2018-05,40.7604,20.2208
2018-06,60.6028,20.3415
2018-07,68.4155,23.8746
2018-08,119.5596,27.0072
2018-09,136.5726,27.7347
2018-10,97.9952,18.1437
2018-11,114.8663,19.7418
2018-12,75.8776,8.5778
2019-01,101.2207,17.1263
2019-02,100.5639,20.3748
2019-03,108.3451,22.0514
2019-04,87.4581,26.2651
2019-05,103.1652,17.5943
2019-06,101.6231,25.308
2019-07,84.6578,26.4355
2019-08,79.1416,23.7232
2019-09,50.8716,26.1617
2019-10,60.4224,28.2707
2019-11,83.0608,32.1761
2019-12,81.3781,35.3247
2020-01,64.3984,35.2749
2020-02,62.3315,23.5454
2020-03,83.3489,7.7105
2020-04,113.2123,21.425
2020-05,138.7286,26.7132
2020-06,125.9144,28.4357
2020-07,131.7445,35.3124
2020-08,129.42,43.9511
2020-09,124.4976,37.6938
2020-10,126.2005,33.4637
2020-11,144.8519,47.2943
2020-12,152.2647,51.8455
2021-01,153.367,50.305
2021-02,154.2583,53.4604
2021-03,171.1584,59.4101
2021-04,192.5827,66.6882
2021-05,185.0092,66.6274
2021-06,183.7849,69.2184
2021-07,202.8046,72.1455
2021-08,194.8127,75.992
2021-09,194.4345,66.6118
2021-10,217.5307,77.1553
2021-11,202.9319,74.6519
2021-12,234.3894,81.397
2022-01,202.1504,70.7122
2022-02,215.9946,64.6001
2022-03,240.0103,69.8532
2022-04,216.1841,54.0273
2022-05,189.9224,53.6333
2022-06,176.7629,40.2902
2022-07,221.4563,52.5094
2022-08,227.7997,45.531
2022-09,217.4541,31.5965
2022-10,242.1757,41.7445
2022-11,218.152,48.9584
2022-12,209.1952,39.838
2023-01,191.9993,48.5632
2023-02,155.6507,44.2258
2023-03,146.4663,48.9578
2023-04,172.3841,50.6836
2023-05,148.483,50.7741
2023-06,171.2271,59.884
2023-07,172.0702,64.3798
2023-08,175.0118,60.953
2023-09,188.5816,52.6248
2023-10,190.7857,48.7132
2023-11,216.8356,61.6976
2023-12,210.7227,68.3392
2024-01,206.5389,71.0275
2024-02,236.1712,79.0476
2024-03,247.8885,83.99
2024-04,187.4716,75.7344
2024-05,162.4956,83.6813
2024-06,146.4497,89.2836
2024-07,181.1124,90.5002
2024-08,186.1535,94.0822
2024-09,181.8759,98.2932
2024-10,161.0205,95.412
2024-11,140.5141,105.8418
2024-12,133.5695,99.9875
2025-01,149.097,105.351
2025-02,140.1369,101.7087
2025-03,161.1157,89.4719
2025-04,157.6472,87.0451
2025-05,138.9499,97.8575
2025-06,132.0654,107.0685
2025-07,22.3783,110.7404
2025-08,39.934,114.0337
2025-09,48.0772,121.6081
2025-10,18.0925,125.7153
2025-11,14.2616,125.0226
2025-12,33.5975,124.0393
2026-01,38.2526,127.2713
2026-02,-20.6975,125.3185
